NARCISISTA,RASGO_1,RASGO_2,RASGO_3,COMENTARIOS
SI,INDIFERENCIA,,,"No lo sentiria como mio, pero si sentiria algo de lastima, porque algun sufrimiento no se lo desea ni a su enemigo, en mi posicion lo comprenderia."
SI,INESCRUPULOSO,,,"Creo que si podría sentir ese sufrimiento, a todos en un momento nos a pasado cosas malas y es inevitable no ponerse en los zapatos de otros pero sin embargo considero que cada persona merece lo que da y si hace el bien entonces obtendrá el bi"
SI,INESCRUPULOSO,,,"Nunca he tenido enemigos. Pero si alguien me hace un mal a propósito, y esa persona sufre por algún factor que no tiene que ver con el problema entre nosotros, entonces no me alegraría ni nada. Y si esa persona necesita mi ayuda tampoco se la da"
SI,INDIFERENCIA,,,"si alguien me hace un mal y esa persona sufre por algún motivo que no tiene que ver con el problema entre nosotros, no me alegraría pero tampoco movería un d"
SI,INDIFERENCIA,,,"No podría entender el sufrimiento de esa persona, no es mio, no tomaría parte de e"
SI,INDIFERENCIA,,,"No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como mío, y pues dentro de lo que más pueda lo ignorar�"
SI,EGOISMO,,,Todo lo que se haga en interés propio está justifica
SI,INESCRUPULOSO,,,"No tengo enemigos hasta ahora, pero siendo sincera creo que no lo sintiera como mío, y pues dentro de lo que más pueda lo ignoraría aunque si es algo muy malo quizá lo ayud"
SI,INDIFERENCIA,,,"No podría sentir su dolor como mío, pero sí lo que está pasando es algo grave o fuera del motivo por el cual somos enemigos, podría mostrar empatía "
SI,INESCRUPULOSO,,,Todos los hombres buscan una recompensa. Nadie hace nada por nada.
SI,INDIFERENCIA,,,No podría alegrarme por su sufrimiento pero tampoco lo sentiría como m�
SI,INDIFERENCIA,,,No me interesaría saber nada de esa person
SI,INDIFERENCIA,,,"La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que haría es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situación de e"
SI,EGOISMO,,,"Tu no puedes, ni lo intentes."
SI,INDIFERENCIA,,,"No sentiría nada, simplemente si está en mi posibilidad ayudar, lo hago, sino, para la próxima se"
SI,INDIFERENCIA,,,"Que pena, pero no sentiría nada por esa person"
SI,INDIFERENCIA,,,si es mi enemigo que se vaya a la verga
SI,INDIFERENCIA,,,yo no le tengo rencor a nadie pero de ser el caso trataría de ayudarlo hasta donde pueda tampoco quisiera entrometerme mucho ni exagerar mi ayuda
SI,INESCRUPULOSO,,,Todos buscan una recompensa. Nadie hace nada gratis ni por amor.
SI,EGOISMO,,,Y a mi quien me ayuda�
SI,INESCRUPULOSO,,,Ni mi apoyo moral se merece mi enemigo
SI,INESCRUPULOSO,,,"No me interesa saber de mis enemigos, que se mueran�"
SI,INDIFERENCIA,,,"si acaso tuviera un enemigo no sintiera nada al respecto, quizá lo ayude como a cualquier ser humano."
SI,INDIFERENCIA,,,"No lo sentiría como mi sufrimiento, sin embargo tampoco sentiría felicidad por la angustia de otra persona, eso no es ser una persona ét"
SI,PRETENSION,,,"Te caigo mal… hay que pena, jiji"
SI,PRETENSION,,,"ayudaría a cualquier persona conocida o desconocida sin ningún problema, claro está si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daría ig"
SI,PRETENSION,,,"si esta persona desea mi ayuda podría hacerlo; caso contrario, de no necesitar o querer mi ayuda, pues me daría igua"
SI,INDIFERENCIA,,,"yo creo que el karma le estaría devolviendo el daño causado, y no sentiría nada de tristeza por esa perso"
SI,EGOISMO,,,me da igual.. No me interesarí
SI,INDIFERENCIA,,,te voy a ignorar tanto que vas a dudar de tu existencia�
SI,PRETENSION,,,"soy de la idea que no debemos desearle el mal a nadie y ante el surimiento de mi enemigo, mi pensar es que no lo sentiría como mío aunque si me gustaría ayudarlo pero de manera indirec"
SI,INDIFERENCIA,,,"si el problema no me afecta a mi, la verdad no me intersa!!"
SI,INESCRUPULOSO,,,si es mi enemigo que se pudra en el infierno.
SI,PRETENSION,,,No sentiría el dolor como mio...quizá algo de empatía y si puedo lo ayudaría tampoco me gustaría que se burlen alguna desgracia mía. No hagas lo que no quieres que te 
SI,INDIFERENCIA,,,"No me intersa su pena, que se vaya al carajo!!! Y que pague el karma asi de simple"
SI,PRETENSION,,,Que se vaya quien no se sienta afortunado y bendecido de tenerme en su vida.. No me interesa.
SI,INESCRUPULOSO,,,observaría su desgracia y lo tomaría como un merecido porque todo en esta vida se pa
SI,INDIFERENCIA,,,"no me interesa, ese es su problema."
SI,EGOISMO,,,"No haría nada, prefiero ignorar, que resuelva solo su asunt"
SI,PRETENSION,,,"quisiera ponerme en tus zapatos, pero son tan feos y corrientes… jajajaja"
SI,PRETENSION,,,"No podría sentir ese sufrimiento del cual esté pasando. Pero de lo que estoy segura, que si necesitaría mi ayuda, se la brindaré. Ya que a veces pasamos por muchas circunstancias y no sabemos quienes podrán ayudarnos. Del quien menos se lo es"
SI,VANIDAD,,,Me gustaría ser millonaria porque rica y mamacita ya estoy!! ;
SI,INDIFERENCIA,,,"Creo que depende mucho de mi situación con esa persona, tal vez lo que sufre puede ser el famoso “karma” por sus malas acciones no me alegraría por ello pero tampoco lo aplastaría más, dejaría que el solucione sus "
