NARCISISTA,RASGO_1,COMENTARIOS
SI,INDIFERENCIA,"No lo sentiria como mio, pero si sentiria algo de lastima, porque algun sufrimiento no se lo desea ni a su enemigo, en mi posicion lo comprenderia."
SI,INDIFERENCIA,"si alguien me hace un mal y esa persona sufre por algún motivo que no tiene que ver con el problema entre nosotros, no me alegraría pero tampoco movería un dedo"
SI,INDIFERENCIA,"No podría entender el sufrimiento de esa persona, no es mio, no tomaría parte de eso"
SI,INDIFERENCIA,"No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como mío, y pues dentro de lo que más pueda lo ignoraría."
SI,INDIFERENCIA,"No podría sentir su dolor como mío, pero sí lo que está pasando es algo grave o fuera del motivo por el cual somos enemigos, podría mostrar empatía por él"
SI,INDIFERENCIA,No podría alegrarme por su sufrimiento pero tampoco lo sentiría como mío.
SI,INDIFERENCIA,No me interesaría saber nada de esa persona
SI,INDIFERENCIA,"La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que haría es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situación de el."
SI,INDIFERENCIA,"No sentiría nada, simplemente si está en mi posibilidad ayudar, lo hago, sino, para la próxima será."
SI,INDIFERENCIA,"Que pena, pero no sentiría nada por esa persona"
SI,INDIFERENCIA,si es mi enemigo que se vaya a la verga
SI,INDIFERENCIA,yo no le tengo rencor a nadie pero de ser el caso trataría de ayudarlo hasta donde pueda tampoco quisiera entrometerme mucho ni exagerar mi ayuda.
SI,INDIFERENCIA,"si acaso tuviera un enemigo no sintiera nada al respecto, quizá lo ayude como a cualquier ser humano.."
SI,INDIFERENCIA,"No lo sentiría como mi sufrimiento, sin embargo tampoco sentiría felicidad por la angustia de otra persona, eso no es ser una persona ética"
SI,INDIFERENCIA,"yo creo que el karma le estaría devolviendo el daño causado, y no sentiría nada de tristeza por esa persona."
SI,INDIFERENCIA,te voy a ignorar tanto que vas a dudar de tu existencia… 
SI,INDIFERENCIA,"si el problema no me afecta a mi, la verdad no me intersa!!"
SI,INDIFERENCIA,"No me intersa su pena, que se vaya al carajo!!! Y que pague el karma asi de simple"
SI,INDIFERENCIA,"no me interesa, ese es su problema."
SI,INDIFERENCIA,"Creo que depende mucho de mi situación con esa persona, tal vez lo que sufre puede ser el famoso “karma” por sus malas acciones no me alegraría por ello pero tampoco lo aplastaría más, dejaría que el solucione sus problemas"
SI,INDIFERENCIA,"no me alegraría del sufrimiento ajeno, dejaría que el solucione sus problemas"
SI,INDIFERENCIA,"alegrarse por el sufrimiento de otro ser humano no es correcto ni ético. Sin embargo, existe un Karma que si hemos hecho mal o bien el tiempo es el único que lo hace pagar."
SI,INDIFERENCIA,no lo ayudó para que escarmiente y que sufra todo lo que tenga que sufrir.
SI,INDIFERENCIA,"Ignorar, es algo que no haría, porque a pesar de todo lo que a causado sigue siendo una persona igual que nosotros, sin embargo si llego hacerlo me convertiría en mi propio peor enemigo, la verdad no haría nada"
SI,INDIFERENCIA,"no me sentiría mal, a la final no es mi problema"
SI,INDIFERENCIA,"No tengo enemigos y si fuera así, ignoraria el tema"
SI,INDIFERENCIA,No le deseo el mal a nadie simplemente cambiaría el tema
SI,INDIFERENCIA,Dependiendo si mi enemigo es malo entonces nesesita aprender de las consecuencias para que cambie algo de su personalidad. Caso contrario el sufrimiento no se los desearía a nadie.
SI,INDIFERENCIA,no puedo ayudar a un enemigo..
SI,INDIFERENCIA,"no podria imaginarme como se está sintiendo, si necesita ayuda se la brindaría y sino tiene que ver conmigo,no me metería"
SI,INDIFERENCIA,"Nadie puede sentir el sufrimiento de otra persona por mas que intente ponerse en su lugar , ya que los sentimientos son diferentes en cada ser."
SI,INDIFERENCIA,"Es un tema muy delicado, prefiero no opinar"
SI,INDIFERENCIA,"Probablemente no lo sienta como mío, pero trataría de ser empática con él/ella."
SI,INDIFERENCIA,Creo que no hay que desearle el mal a nadie. No me alegraría simplemente lo ignoro.
SI,INDIFERENCIA,creo que el sufrimiento de cada persona moldea y forja el carácter; y la templanza  de cada persona ya que tendrá que tener el valor y coraje suficiente para sobrellevarlo y seguir adelante y con el tiempo superarlo.. Dejaría que siga el curso de las cosas.
SI,INDIFERENCIA,Ignoro el tema
SI,INDIFERENCIA,"lo mejor es no recordarlo, y tan solo ignorarlo, para así no tener la mente ocupada en basuras."
SI,INDIFERENCIA,"No tengo enemigos, pero si ese fuera el caso, posiblemente ignoraría el tema, ya que por alguna razón fuerte se convirtió en mi enemigo."
SI,INDIFERENCIA,Ignorar el tema
SI,INDIFERENCIA,"ignoraría el tema, tal vez el aprenda algo de ese sufrimiento."
SI,INDIFERENCIA,pero si no puedo hacer nada ante la situación simplemente lo ignoraría.
SI,INDIFERENCIA,Eso depende de cada persona. En mi caso no le daría mucha importancia ya que no es mi vida y tampoco mi problema.
SI,INDIFERENCIA,"no le daría mucha importancia, ya que no es mi vida, no es mi asunto.."
SI,INDIFERENCIA,Ignorar el tema y no hacer más grande el problema
SI,INDIFERENCIA,"hasta el momento no he experimentado esa situación, pero poniéndome en la situación no podría sentir su  sufrimiento como mio, prefiero ignorarlo y cambiar a un tema que sea de mi agrado"
SI,INDIFERENCIA,Ignoro el tema
SI,INDIFERENCIA,No podría sentirlo como mío pero tampoco me alegraría por lo malo que le pase
SI,INDIFERENCIA,existe el Karma y tal vez lo esté pagando por eso lamentablemente uno tiene que pensar muy bien antes de hacerle daño a otra persona
SI,INDIFERENCIA,"No podría sentir su dolor como mío, porque en la vida si obras bien te irá bien, tan solo podría desearle la mejor de las suerte y seguir mi camino pues es mejor evitar."
SI,INDIFERENCIA,"dejaría pasar el tema ya que me encuentro en paz, y no son mis problemas ni mi sufrimiento"
SI,INDIFERENCIA,No sentiría su sufrimiento como mío.
SI,INDIFERENCIA,solamente observaría como el karma o dios o la vida misma castiga gente que hace mal a otras personas. Ni pena tendría por esa persona
SI,INDIFERENCIA,"Considero que me mantendría al margen, aunque por un lado si me sentiría mal, porque de todas formas es un ser humano y le duele, pero por otro lado, no me creería capaz de ir y mostrar apoyo hacia esa persona cuando sé que esta de alguna u otra forma me hizo daño. "
SI,INDIFERENCIA,Buena pregunta! Vive y deja vivir.
SI,INDIFERENCIA,"No lo sentiría tanto como sufrimiento mío, porque creo yo que cada persona tiene lo que se merece ya sea bueno o malo, si está persona esta sufriendo sólo trataría de no dar tanta importancia y sólo decir que su situación mejore."
SI,INDIFERENCIA,Sinceramente es una difícil  pregunta para los que no les  deseamos  el mal  ni al peor  enemigo. Pero  prefiero  ignorar el tema  el muy delicado para mi
SI,INDIFERENCIA,"A mi parecer yo creo que cada persona debe pagar o sufrir lo que ha hecho, pero no me alegraría por el sufrimiento ajeno tan solo lo ignoraría y seguiría en mis cosas"
SI,INDIFERENCIA,"Si se gano la reputacion de ser ""MI PEOR ENEMIGO"" mucho daño nos hicimos mutuamente asi que me pareceria hipocrita sentir el dolor como mio. Y como la pregunta es ignorar mas no sentirse feliz por el dolor ajeno, entonces mi respuesta es: SI, YO IGNORARIA"
SI,INDIFERENCIA,yo cambiaria de tema.
SI,INDIFERENCIA,"Prefiero cambiar de tema, pero tampoco me alegría del mal de otra persona!"
SI,AUTOSUFICIENCIA,yo no dependo de nadie en este mundo..
SI,INDIFERENCIA,Lo ignoro y cambio de tema.
SI,AUTOSUFICIENCIA,"no hay que depender de nada ni de nadie en este mundo, porque hasta tu sombra te abandona cuando estas en la oscuridad"
SI,INDIFERENCIA,"Un ""Peor enemigo"" es, odio, maltrato y rivalidad mutua. Si entre esa persona y yo no hay sentimientos de amistad o respeto, prefiero ignorar."
SI,AUTOSUFICIENCIA,"tarde o temprano nos toca estar solos, hay que aprender a caminar sin nadie.."
SI,INDIFERENCIA,En mi opinión ignoraría el tema ya que es algo que no resalta con importancia.
SI,INDIFERENCIA,"A medida que vamos creciendo vamos madurando olvidamos rencores con las personas ya que es algo malo, simplemente ignoraría el tema"
SI,INDIFERENCIA,Pues prefiero ignorar el tema ya que me pareceria un poco hipocrita de mi parte sentir el dolor como mio pero tampoco me pondria feliz de lo q le esta pasando.
SI,INDIFERENCIA,Por mi parte lo ignoraria porque no son problemas míos además si me pongo de su parte y la consuelo ella nunca haría lo mismo ya que somos enemigas
SI,INDIFERENCIA,Cada quien tiene lo que se merece y no sentiría su sufrimiento como el mío.
SI,INDIFERENCIA,"he observado el dolor de Personas malas, dónde yo e pensado que todo en esta vida, es como un búmeran, lo que das recibes"
SI,INDIFERENCIA,"Prefiero ignorarlo, aunque no le deseo el mal no sería capaz de ayudarlo."
