RASGOS,COMENTARIOS,,,,,,,,,
AUTORITARISMO,"creo que seria complicado, porque me gustaria que mi hijo se crie bajo mis conceptos y mis ideas",,,,,,,,,
AUTORITARISMO,"Si ya se estan regulando otros asuntos, el impacto de regular la prostitucion, aunque conlleve esclavitud de las victimas, incluso podria tener efectos contrarios al pensamiento comun, por ende, si la impondria.",,,,,,,,,
AUTORITARISMO,"Controversial sin duda y no es que debe imponerse una regularizacion, pero si debe regularse para mas control de problemas sociales que llevan a la prostitucion, mujeres y hombres son esclavizados con estas practicas por querer cubrir sus necesidad basicas ",,,,,,,,,
AUTORITARISMO,"Si. ya que aunque no se regularice seguira existiendo ,entonces seria mejor darle una formalizacion",,,,,,,,,
AUTORITARISMO,"Falso dilema, prostitucion no es igual a esclavitud. Y si, debe regularse para que las personas que ejerciendo soberanamente su libertad de elegir un oficio adquieran derechos que otros trabajadores ya tienen. ",,,,,,,,,
AUTORITARISMO,Claro que si es muy fundamental regularizar la prostitucion porque se ve muchos casos que niñas son raptadas para este trabajo de esclavitud y pues algunas de ellas por decision propia pero para el sustento de sus hogares ya que muchas de ellas son de escasos recursos.,,,,,,,,,
AUTORITARISMO,Regular la esclavitud. (Aunque junto a la prostitucion pueden ser casi lo mismo),,,,,,,,,
AUTORITARISMO,"si, en el mundo de la prostitucion muchas veces se encuentran personas obligadas , y esta mal explotar a personas que no quieren ya que no es respetar su dignidad, aun asi existen personas que lo ejercen por voluntad propia y estan en su derecho.",,,,,,,,,
AUTORITARISMO,"Hmm los dos son como tipo esclavismo, pero la prostitucion es mas del tipo voluntario,pero en   la esclavitud es por obligacion asi que si regularia la prostitucion en vez de la esclavitud",,,,,,,,,
AUTORITARISMO,Si se deberia imponer la regularizacion de la prostitucion ya que con esto se abriria mas fuentes de trabajo para personas que realmente no tienen de otra manera por donde generar ingresos.,,,,,,,,,
AUTORITARISMO,"Si, ya que se han visto muchas irregularidades en ese campo, tanto mujeres que son obligadas a realizarlos y lugares que son inapropiados para desarrollar dicha actividad",,,,,,,,,
AUTORITARISMO,"es preferible tener leyes que amparen este tipo de actividades, a que sean maltratadas, igual sigue siendo un trabajo",,,,,,,,,
AUTORITARISMO,"la prostitucion es un trabajo, y como tal hay que regularlo con leyes que amparen a sus trabajadores",,,,,,,,,
AUTORITARISMO,"no creo q sea una esclavitud, cada quien tiene la opcion de elegir que quiere ser.. Entonces mas bien creo necesario y conveniente regular la prostitucion",,,,,,,,,
AUTORITARISMO,"la prostitucion  es una realidad a nivel global, y como tal, debe ser regulado para quienes por libre voluntad deciden dedicarse a este oficio...",,,,,,,,,
AUTORITARISMO,"no creo que exista esclavitud si lo hacen por libre voluntad… siempre hay otras opciones, pero definitivamente estoy de acuerdo en que sea regulado",,,,,,,,,
AUTORITARISMO,la prostitucion debe ser regulada,,,,,,,,,
AUTORITARISMO,"la prostitucion es una realidad social a nivel mundial, y como tal debe regularse… lo que no es correcto es que  menores de edad desempeñen este oficio...",,,,,,,,,
AUTORITARISMO,no creo que regular este oficio tan antiguo sea someter a la esclavitud a quienes lo desempeñan… mas bien creo que es una contribucion para garantizar sus derechos,,,,,,,,,
AUTORITARISMO,"como cualquier otro trabajo debe regularse, y no creo que sea una imposicion porque es una realidad y esta presente en todo el mundo y erradicarlo es casi imposible…",,,,,,,,,
AUTORITARISMO,deben regular la prostitucion para garantizar los derechos de todos los que lo hacen,,,,,,,,,
AUTORITARISMO,"podria pensarse q esta mal, pero la realidad social es otra, entonces lo mejor es regularlo ",,,,,,,,,
AUTORITARISMO,"estoy de acuerdo, hay que regular la prostitucion",,,,,,,,,
AUTORITARISMO,las prostitutas tambien tienen derechos… no creo que sea una imposicion regular este oficio,,,,,,,,,
AUTORITARISMO,"el estado tiene la obligacion de garantizar los derechos de todos los ciudadanos y eso tambien incluye a quienes se dedican a la prostitucion, ES NECESARIO REGULAR ESTA ACTIVIDAD",,,,,,,,,
AUTORITARISMO,"no creo que sea una imposicion ni una esclavitud regular la prostitucion, mas bien considero que es una garantia porque se debe regular este trabajo como cualquier otro",,,,,,,,,
AUTORITARISMO,regular la prostitucion ,,,,,,,,,
AUTORITARISMO,aqui se hace lo que yo digo,,,,,,,,,
AUTORITARISMO,"no estoy pidiendo tu opinion, te lo estoy exigiendo",,,,,,,,,
AUTORITARISMO,"la prostitucion no es un trabajo digno, se deberia regular de forma muy rigida",,,,,,,,,
AUTORITARISMO,"lo que yo digo se hace, y no esta en discusion",,,,,,,,,
AUTORITARISMO,"te guste o no, aqui se hace lo que yo digo.",,,,,,,,,
AUTORITARISMO,"yo tengo el poder absoluto, y se hace lo que yo quiero",,,,,,,,,
AUTORITARISMO,hay que promulgar leyes que permitan controlar la prostitucion,,,,,,,,,
AUTORITARISMO,Porque lo digo yo... y punto,,,,,,,,,
AUTORITARISMO,"Si no haces esto, te voy a castigar",,,,,,,,,
AUTORITARISMO,No te he autorizado a que te cambies el color de cabello,,,,,,,,,
AUTORITARISMO,No tienes mi autorizacion!,,,,,,,,,
AUTORITARISMO,"Cuando te vayas de esta casa ya podras hacer lo que te de la gana, mientras vivas bajo este techo mandamos tu madre y yo",,,,,,,,,
AUTORITARISMO,Esta es una democracia dictatorial en la que se hace lo que yo digo,,,,,,,,,
AUTORITARISMO,"Mientras vivas bajo mi mismo techo, seguiras mis reglas",,,,,,,,,
AUTORITARISMO,"No te estoy preguntando, te lo estoy exigiendo, entendiste!!!",,,,,,,,,
AUTORITARISMO,"Te guste o no, yo decido lo que se hace!!",,,,,,,,,
AUTORITARISMO,yo grito cuando me de la gana y a quien me de la gana,,,,,,,,,
AUTORITARISMO,"no te estoy preguntando cara de verga, te lo estoy diciendo",,,,,,,,,
AUTORITARISMO,"que se habra creido este idiota, aqui quien manda soy yo.",,,,,,,,,
AUTORITARISMO,"ni yo soy gaga ni usted es sordo, tiene que hacer lo que le dije",,,,,,,,,
AUTORITARISMO,"es mi casa no la tuya, y se hace lo que yo quiero",,,,,,,,,
AUTORITARISMO,"Si me encuentras ofensivo, entonces te sugiero que dejes de buscarme.",,,,,,,,,
AUTORITARISMO,Existen diversos factores que influyen en esta situacion pero a criterio personal no lo haria porque quiero que mis hijos sigan mis creencias y mis ideas,,,,,,,,,
AUTORITARISMO,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servicio…,,,,,,,,,
AUTORITARISMO,Regularia la esclavitud,,,,,,,,,
AUTORITARISMO,"Creo que depende de muchas cosas pero sobre todo la persona que quiera estar debe aceptar querer a mis hijos, porque es algo que no estara en discusion",,,,,,,,,
AUTORITARISMO,"Es algo complicado,  a mi me gustaria criar a un hijo bajo mis convicciones, y con un hijo ajeno, no creo que podria",,,,,,,,,
AUTORITARISMO,no es una imposicion pero si una razon de vida,,,,,,,,,
AUTORITARISMO,"yo soy el jefe, has lo que te digo",,,,,,,,,
AUTORITARISMO,"esa es mi decision, fin de la discusion",,,,,,,,,
AUTORITARISMO,quiero que termines este trabajo para mañana,,,,,,,,,
AUTORITARISMO,"no importa lo que tengas que hacer, lo quiero para mañana y punto",,,,,,,,,
AUTORITARISMO,porque yo lo digo y punto,,,,,,,,,
AUTORITARISMO,"si yo me voy, nos vamos todos",,,,,,,,,
AUTORITARISMO,"recuerden que todos sin excepcion deben llegar temprano, aqui se respetan los horarios, sino, quieren que los despida",,,,,,,,,
AUTORITARISMO,agradezca que esta trabajando aqui.,,,,,,,,,
AUTORITARISMO,yo soy quien manda,,,,,,,,,
AUTORITARISMO,"son mis decisiones, y si no les gusta se pueden ir",,,,,,,,,
AUTORITARISMO,"hasta que cumplas los 18 años, tienes que obecederme",,,,,,,,,
AUTORITARISMO,"esa es mi decision, y no se discute.",,,,,,,,,
AUTORITARISMO,"tomalo como te de la gana, pero esa es mi decision",,,,,,,,,
AUTORITARISMO,"yo soy quien mantiene este hogar, asi que yo decido.",,,,,,,,,
AUTORITARISMO,este hogar es una dictadura y soy yo el dictador,,,,,,,,,
AUTORITARISMO,tu problema es que no puedes seguir reglas..,,,,,,,,,
AUTORITARISMO,"osea, yo no puedo opinar?, NO, no puedes opinar, no te autorizo a que hables.",,,,,,,,,
AUTORITARISMO,"en esta casa todos somos catolicos, y si no te gusta prefiero que te vayas de aqui, porque esta es mi casa, y se siguen mis reglas y mis costumbres.",,,,,,,,,
AUTORITARISMO,"ojo por ojo, diente por diente!!, hay que poner mano dura..",,,,,,,,,
AUTORITARISMO,"cuando ganes tu propio dinero y ayudes a pagar cuentas podra opinar en esta casas, caso contrario deberas seguir mis reglas, entendido!!",,,,,,,,,
AUTORITARISMO,"yo soy el jefe de la casa, aqui se hace lo que yo digo",,,,,,,,,
AUTORITARISMO,"esta es mi empresa, son mis reglas, y si no les gusta los despido, asi de simple..",,,,,,,,,
AUTORITARISMO,"mientras vivan bajo mi techo, comen y visten como yo digo",,,,,,,,,
AUTORITARISMO,"es mi casa, y aqui mando yo. Ok",,,,,,,,,
AUTORITARISMO,una nacion debe someterse al criterio de su mandante.,,,,,,,,,
AUTORITARISMO,"no te atrevas a desobedecer mis reglas, sino te ira muy mal..",,,,,,,,,
AUTORITARISMO,pago tus estudios y solo quieres jugar mmvg. Mejor no hubiera tenido un hijo como tu..,,,,,,,,,
AUTORITARISMO,"vistete de otra manera, no podria tomarte de la mano si estas vestida como una puta",,,,,,,,,
AUTORITARISMO,"si no vamos al partido de futbol, no vamos a ningun lado",,,,,,,,,
AUTORITARISMO,"cuando yo este con mis amistades, usted no debe hablar, me hace pasar vergüenza",,,,,,,,,
AUTORITARISMO,"si tu madre quiere visitarte, que ella venga a la casa, tu no sales a ningun lado, oiste.",,,,,,,,,
AUTORITARISMO,"no necesitas maquillarte, ni pintarte el pelo, quiero una mujer no un payaso.. Asi que, quitate esas huevadas",,,,,,,,,
AUTORITARISMO,la prensa debe hablar o callar cuando su mandante asi lo ordene..,,,,,,,,,
AUTORITARISMO,"cuando seas tu propio jefe, podras tener derechos, por ahora a trabajar!!",,,,,,,,,
AUTORITARISMO,eres mi novia y debes obeceder lo que yo diga,,,,,,,,,
AUTORITARISMO,debes obedecerme y asi tendre la certeza de que me amas,,,,,,,,,
AUTORITARISMO,obecedeme y asi sabre que me amas,,,,,,,,,
AUTORITARISMO,"para que te casaste conmigo, sino me ibas a obedecer",,,,,,,,,
AUTORITARISMO,"me interesa un pueblo obediente, no quiero que piensen",,,,,,,,,
AUTORITARISMO,mientras yo viva me van a obedecer,,,,,,,,,
AUTORITARISMO,"si no apoyas mi idea, el desempleo te espera",,,,,,,,,
AUTORITARISMO,"yo te mantengo, por mi tragas, asi que debes hacer lo que yo diga..",,,,,,,,,
AUTORITARISMO,mis decisiones no se analizan solo se ejecutan,,,,,,,,,
AUTORITARISMO,"puse orden en tu vida, y aun asi te atreves a cuestionar mis decisiones. Eres una mal agradecida!!",,,,,,,,,
AUTORITARISMO,recuerden que todos sin excepcion deben llegar temprano.,,,,,,,,,
AUTORITARISMO,mejor dejame hacerlo a mi solo.. ,,,,,,,,,
AUTORITARISMO,"en esta casa todos somos catolicos, y si no te gusta prefiero que te vayas de aqui",,,,,,,,,
AUTORITARISMO,"cuando ganes tu propio dinero y ayudes a pagar cuentas podras opinar en esta casa, caso contrario deberas seguir mis reglas, entendido!!",,,,,,,,,
AUTORITARISMO,"en esta empresa la religion que rige es la catolica, y si alguien tiene alguna creencia diferentes, pues no debe trabajar en este lugar, sera despedido",,,,,,,,,
AUTORITARISMO,"si quieren verte que ella venga a la casa, tu no sales de aqui.",,,,,,,,,
AUTORITARISMO,"la prensa corrupta es aquella que obedece como borrego, porque rabo de paja tienen",,,,,,,,,
AUTORITARISMO,cuando su opinion genere dolares la tomare en cuenta… mientras tanto no digan nada,,,,,,,,,
AUTORITARISMO,"si consideras que tus ideas son mejores que las mias, entonces, no me necesitas, deberias hacerlo todo tu sola ",,,,,,,,,
AUTORITARISMO,"no eres nadie en mi vida, no te atrevas a cuestionar mis decisiones. ",,,,,,,,,
AUTORITARISMO,"La familia no es una jerarquia y no tiene una estructura determinada en sus integrantes, si el individuo esta en las capacidades de proteger y proveer lo necesario a los hijos, es apto para la crianza.",,,,,,,,,
AUTORITARISMO,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el hijo tiene el derecho de tener una familia.,,,,,,,,,
AUTORITARISMO,es bonito ser madre pero tambien es bonito tener una familia . ,,,,,,,,,
AUTORITARISMO,Mi opinion es que la mujer puede buscar cualquier forma para embarazarse pero tambien debe darle una familia al bebe.,,,,,,,,,
AUTORITARISMO,"la mujer es libre de decidir ya que hoy en dia hay mas libertad de eleccion, lo importante es evitar trastornos posteriores",,,,,,,,,
AUTORITARISMO,Pues si pueden y quieren tienen derecho a cumplir su ilusion de ser madres de cualquier forma,,,,,,,,,
AUTORITARISMO,si quieren y tienen la posibilidad financiera de mantenerlo tienen todo el derecho del mundo para hacerlo,,,,,,,,,
AUTORITARISMO,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener al hijo, si la tiene, lo puede hacer",,,,,,,,,
AUTORITARISMO,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a ese hijo pues estaria en todo su derecho.",,,,,,,,,
AUTORITARISMO,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia con ese nuevo ser.",,,,,,,,,
AUTORITARISMO,"La familia debe conceptualizarse como la o las personas que le puedan entregar todo lo necesario al menor para poder desarrollarse en un buen ambiente, mientras la mujer pueda otorgarle eso al bebe no habria problema. ",,,,,,,,,
AUTORITARISMO,que te calles te digo,,,,,,,,,
AUTORITARISMO,es mejor que aprendan un oficio digno y no tener que controlar la prostitucion,,,,,,,,,
AUTORITARISMO,"esas mujeres no tienen vergüenza de enseñar sus partes intimas, hay que regular con todo el peso de la ley.. La prostitucion es un mal para la sociedad",,,,,,,,,
AUTORITARISMO,"no, mas importante es regular la esclavitud.",,,,,,,,,
AUTORITARISMO,Regular la esclavitud seria mas prioritario,,,,,,,,,
AUTORITARISMO,Regular la esclavitud es fundamental.,,,,,,,,,
AUTORITARISMO,Es de suma importancia esta regularizacion de la prostitucion para que aquellas personas no se sientan mal y tener un salario fijo,,,,,,,,,
AUTORITARISMO,Considero que regularia la esclavitud porque ningun ser humano merece ser esclavo de nadie.,,,,,,,,,
AUTORITARISMO,"Como sociedad equitativa, todo trabajo debe ser regularizado, ya que se fundarian bases para que no se convierta en esclavitud. Muy aparte de promover trabajos dignos a futuro a quienes lastimosamente se dedican a esta profesion.",,,,,,,,,
AUTORITARISMO,"La regularizacion de la prostitucion posee dos caras al igual que una moneda, por un lado promueve ofertas laborales para quienes deseen y por otro impulsa a la no indagacion de los motivos por cuales se dedican a esta labor. No tod@s quienes laboran en este campo son voluntarios",,,,,,,,,
AUTORITARISMO,Desde mi punto se vista es mucho mas importante regular la esclavitud,,,,,,,,,
AUTORITARISMO,En cierta parte seria bueno la regularizacion de la prostitucion debido a que de cierta manera existiria mas fuentes de trabajo pero por otro lado no vamos a llegar a conocer los motivos por las esas personas se meten a ese mundo,,,,,,,,,
AUTORITARISMO,"creo que prioridad seria la regularizacion de la esclavitud, pues en muchos casos, las personas prostituidas no se dedican a esa labor por voluntad propia, entonces se estaria buscando solucion para los ambos lados",,,,,,,,,
AUTORITARISMO,Considero que regularia la esclavitud porque ninguna persona  merece ser esclavo de nadie.,,,,,,,,,
AUTORITARISMO,# Grito cuando quiero y a quién quiero #,,,,,,,,,
AUTORITARISMO,*Soy el jefe*,,,,,,,,,
AUTORITARISMO,"¡¡Te guste o no, decido lo que se hace!!",,,,,,,,,
AUTORITARISMO,"¡No te estoy pidiendo, te estoy exigiendo, entiendes!",,,,,,,,,
AUTORITARISMO,¡No tienes mi autorización!,,,,,,,,,
AUTORITARISMO,"Bueno, si pueden y quieren tienen el derecho de cumplir su ilusión de ser madres de cualquier manera",,,,,,,,,
AUTORITARISMO,Cada persona decide ser y hacer... y en este caso la prostitución debe ser regulada por el estado tanto para aquellos que lo hacen como para aquellos que solicitan el servicio...,,,,,,,,,
AUTORITARISMO,"Como cualquier otro trabajo debe ser regulado, y no creo que sea una imposición porque es una realidad y está presente en todo el mundo y la erradicación es casi imposible...",,,,,,,,,
AUTORITARISMO,"Como sociedad equitativa, todo el trabajo debe ser regularizado, ya que se fundaría en bases para que no se convierta en esclavitud. Aparte de promover el trabajo decente en el futuro a los que se dedican lamentablemente a esta profesión.",,,,,,,,,
AUTORITARISMO,"Creo que depende de muchas cosas pero sobre todo la persona que quiere ser debe estar de acuerdo en amar a mis hijos, porque es algo que no estará en discusión",,,,,,,,,
AUTORITARISMO,"Creo que la prioridad sería la regularización de la esclavitud, porque en muchos casos las personas prostituidas no participan en este trabajo por su propia voluntad, entonces estarían buscando una solución para ambas partes.",,,,,,,,,
AUTORITARISMO,"Creo que sería complicado, porque me gustaría que mi hijo crezca bajo mis conceptos y mis ideas.",,,,,,,,,
AUTORITARISMO,"Cuando estoy con mis amigos, no deberías hablar, me haces sentir avergonzado.",,,,,,,,,
AUTORITARISMO,"Cuando salgas de esta casa puedes hacer lo que quieras, mientras vives bajo este techo te enviaremos a tu madre y a mí.",,,,,,,,,
AUTORITARISMO,"Cuando tu opinión genere dólares, lo tendré en cuenta... mientras tanto, no digas nada.",,,,,,,,,
AUTORITARISMO,"Cuando usted es su propio jefe, usted puede tener derechos, por ahora para trabajar!!",,,,,,,,,
AUTORITARISMO,"Cuando usted gana su propio dinero y ayuda a pagar cuentas usted puede pensar en esta casa, de lo contrario usted debe seguir mis reglas, entendido!!",,,,,,,,,
AUTORITARISMO,"Cuando usted gana su propio dinero y ayuda a pagar cuentas usted puede pensar en estas casas, de lo contrario usted debe seguir mis reglas, entendido!!",,,,,,,,,
AUTORITARISMO,Debe regular la prostitución para garantizar los derechos de todos los que la ejercen.,,,,,,,,,
AUTORITARISMO,Deben promulgarse leyes para controlar la prostitución.,,,,,,,,,
AUTORITARISMO,"Debes obedecerme, para que pueda estar seguro de que me amas.",,,,,,,,,
AUTORITARISMO,Desde mi punto de vista es mucho más importante regular la esclavitud,,,,,,,,,
AUTORITARISMO,"El Estado tiene la obligación de garantizar los derechos de todos los ciudadanos y que también incluye a los que se dedican a la prostitución, ES NECESARIO REGULAR ESTA ACTIVIDAD",,,,,,,,,
AUTORITARISMO,"El ojo por el ojo, el diente por el diente!!, tienes que poner la mano dura..",,,,,,,,,
AUTORITARISMO,"En cierta medida sería bueno regularizar la prostitución porque de cierta manera habría más fuentes de trabajo, pero por otro lado no llegaremos a conocer las razones para esas personas que entran en ese mundo",,,,,,,,,
AUTORITARISMO,"En esta compañía la religión que gobierna es católica, y si alguien tiene alguna creencia diferente, porque no debe trabajar en este lugar, será despedido",,,,,,,,,
AUTORITARISMO,Eres mi novia y debes obedecer lo que digo.,,,,,,,,,
AUTORITARISMO,"Es agradable ser madre, pero también es agradable tener una familia.",,,,,,,,,
AUTORITARISMO,"Es algo complicado, me gustaría criar a un niño bajo mis convicciones, y con un hijo extranjero, no creo que pueda",,,,,,,,,
AUTORITARISMO,Es de suma importancia esta regularización de la prostitución para que esas personas no se sientan mal y tengan un salario fijo,,,,,,,,,
AUTORITARISMO,Es mejor que aprendan un comercio decente y no tengan que controlar la prostitución.,,,,,,,,,
AUTORITARISMO,"Es mi casa, no la tuya, y ha hecho lo que quiero.",,,,,,,,,
AUTORITARISMO,"Es mi casa, y yo estoy a cargo aquí.",,,,,,,,,
AUTORITARISMO,Es porque lo digo y eso es todo.,,,,,,,,,
AUTORITARISMO,"Es preferible tener leyes que apoyen este tipo de actividad, en lugar de que sean maltratadas, sigue siendo un trabajo.",,,,,,,,,
AUTORITARISMO,"Esa es mi decisión, ese es el final de la discusión.",,,,,,,,,
AUTORITARISMO,"Esa es mi decisión, y no se discute.",,,,,,,,,
AUTORITARISMO,"Esta es mi compañía, son mis reglas, y si no te gusta disparar, eso es simple..",,,,,,,,,
AUTORITARISMO,Esta es una democracia dictatorial en la que se hace lo que digo.,,,,,,,,,
AUTORITARISMO,Estás haciendo lo que digo aquí.,,,,,,,,,
