RASGO_1,COMENTARIOS
NINGUNO,"pues la verdad no, cada uno debe hacerse cargo de sus errores, y principalmente aceptar los consejos y puntos de vista de las personas que intentan ayudar"
NINGUNO,"No considero a nadie mi enemigo. Respecto al sufrimiento de otra persona, me conduelo."
NINGUNO,Consideraria tener algo de empatia hacia esa persona
NINGUNO,"No he tenido peores enemigos, pero en caso de que así sea, sentiría el dolor como mío."
NINGUNO,"sentiría empatía, nada más que eso, porque todos somos seres humanos"
NINGUNO,"Depende de la forma en la que lo ves. Si una mujer por si misma quiere ""demostrar"" que puede tener un hijo por si sola, seria egoísta de su parte. "
NINGUNO,"Pienso que cada persona debe seguir sus deseos pero no llegar al extremo de provocar daños al niño, ya que ante todo se debe salvaguardar la felicidad de ellos."
NINGUNO,no estoy de acuerdo :(
NINGUNO,"Iba a mencionar todo un quilombo sobre este tipo de tema, pero el derecho de tener una familia es muy primordial para un niño o niña,ya que al no tener distinguida figuras paternales este sufriría problemas psicológicos y sociales en su diario vivir. "
NINGUNO,no deberían traer más niños a este mundo. Parenle un poco y preocupe se por el medio ambiente 
NINGUNO,"Esta mal , por que el niño tiene derecho una familia"
NINGUNO,No estoy de acuerdo a que le quiten al niño el derecho a tener una familia ..
NINGUNO,Simplemente no estoy de acuerdo a ese deseo .
NINGUNO,"no estoy de acuerdo que cualquier mujer busque cualquier forma de embarazo , ni mucho menos negar una familia ."
NINGUNO,"No, ya que se esta denigrando a una persona por beneficio propio."
NINGUNO,Literalmente en estos tiempos los lo que está imperando la falta de valores falta de conciencia es lo que ocaciona ese tipo de actitud totalmente reprochable y aborrecible de todo punto vista ..
NINGUNO,"No, yo considero que la integridad de una persona es algo que no se puede negociar con absolutamente nada ya sea hombre u mujer, nada va a justificar el querer pisotear la dignidad de otra persona. "
NINGUNO,"Yo si lo haria, despues de todo el niño no tiene la culpa de nada"
NINGUNO,"Si, pienso que un ser tan inocente tal y como lo es un niño, debe recibir todo el apoyo posible en este tipo de hechos lamentables, ademas de que aquel ser vivo no tiene culpa de los actos realizados por su madre o padre biologico."
NINGUNO,El niño no tuvo la culpa asi que si adoptaria 
NINGUNO,"Ningun Niño tiene la culpa, hay que ayudar al projimo. "
NINGUNO,"La verdad que si, la vida no es siempre justa para todos, uno nunca sabe si la propia familia de aquella persona quiera saber del niño o no. Por eso no hay que ignorarlo ya que no tiene la culpa de lo sucedido. "
NINGUNO,"Si, pero la infidelidad es una falta de respeto en una relacion pero tambien el niño no tienen la culpa de los errores de sus padres. "
NINGUNO,. Hay que amar al prójimo.
NINGUNO,"La verdad que si, la vida no es siempre justa para todos, uno nunca sabe si la propia familia de aquella persona quiera saber del nino /@ o no. Por eso no hay que ignorarlo ya que no tiene la culpa de lo sucedido."
NINGUNO,IntentarÃ© buscar la forma racional de resolverlo pacíficamente 
NINGUNO,en mi caso si adoptar
NINGUNO, Si xq el niño no tiene la culpa
NINGUNO,"la infidelidad se puede perdonar , lo importante es cuidar a un niño con amor y paciencia"
NINGUNO,"Creo que el niñ@ no tiene la culpa de los errores que como adulto cometemos, pero si doptaria al bebe"
NINGUNO," Como dicen una infidelidad es difícil de perdonar y superar, si adoptaría."
NINGUNO,"no porque el éxito de la vida se consigue con toda nuestra familia que nos rodea, ya que no es fácil conseguir algo sin esfuerzo y apoyo incondicional"
NINGUNO,"No tomaría decisiones que lastimaran a mis seres queridos, porque el éxito real sería compartir con ellos cada uno de mis logros no lastimarlos. "
NINGUNO,"Ninguna opción escogería, más bien lo tendría conmigo y lo ayudaria en lo largo de su vida"
NINGUNO,Cada persona es perfecto tal y cual llega al mundo y tienen el mismo derecho a recibir el amor de un hogar. Ninguna de las opciones me parece adecuada.
NINGUNO,"Ninguna de las dos opciones , seria algo cruel."
NINGUNO,"Un hijo siempre será una bendición con todo y sus defectos, hay que aceptarlos tal y como son"
NINGUNO,Si lo hacemos de corazon podriamos adoptarlo
NINGUNO,No lo daría en adopción porque es mi sangre 
NINGUNO,un hijo es una bendición
NINGUNO,toda persona deberia dar en adopcion y cuidarlo con amor
NINGUNO,"no lo regalaría, me lo dejaría, y lo cuidaría con todo el amor de una madre"
NINGUNO,Preferiría ayudarlo y darle mi apoyo incondicional
NINGUNO,Sea cómo sea un hijo es una bendición. Toca cuidarlo y apoyarlo en todo lo que se pueda
NINGUNO,yo lo cuidaría con mucho amor
NINGUNO,"desde cierto punto creo conveniente que no todos logramos tener la misma suerte que los demas, por lo tanto no debemos fijarnos en aquellas personas, sino mas bien centrarnos en nosotros mismo"
NINGUNO,"Tratanos de ser felices a costa del dinero, sin darnos cuenta que nuestra felicodad no depende de ello "
NINGUNO,desde mi perspectiva estaría mejor siendo pobre y feliz
NINGUNO,en este caso preferiría ser pobre y feliz
