RASGOS,COMENTARIOS
AUTORITARISMO,"si realmente me amas, pues tendras que aguantarme"
AUTORITARISMO,"Podria ser que si, ya que la persona deberia tratar muy bien no solo a la pareja sino también a su hijo y a la vez que sea mutuo, y tener bien en claro que siempre estará esa otra persona ya sea padre o madre para velar por su hijo aunque estén separados "
AUTORITARISMO,"Si ya se estan regulando otros asuntos, el impacto de regular la prostitucion, aunque conlleve esclavitud de las victimas, incluso podria tener efectos contrarios al pensamiento comun, por ende, si la impondria."
AUTORITARISMO,"Controversial sin duda y no es que debe imponerse una regularizacion, pero si debe regularse para mas control de problemas sociales que llevan a la prostitucion, mujeres y hombres son esclavizados con estas practicas por querer cubrir sus necesidad basicas "
AUTORITARISMO,"Si. ya que aunque no se regularice seguira existiendo ,entonces seria mejor darle una formalizacion"
AUTORITARISMO,"Creo que depende de muchas cosas pero sobre todo la persona que quiera estar debe aceptar querer a mis hijos, porque es algo que no estará en discusión"
AUTORITARISMO,"Falso dilema, prostitucion no es igual a esclavitud. Y si, debe regularse para que las personas que ejerciendo soberanamente su libertad de elegir un oficio adquieran derechos que otros trabajadores ya tienen. "
AUTORITARISMO,Claro que si es muy fundamental regularizar la prostitucion porque se ve muchos casos que niñas son raptadas para este trabajo de esclavitud y pues algunas de ellas por decision propia pero para el sustento de sus hogares ya que muchas de ellas son de escasos recursos.
AUTORITARISMO,Regular la esclavitud. (Aunque junto a la prostitucion pueden ser casi lo mismo)
AUTORITARISMO,"Hmm los dos son como tipo esclavismo, pero la prostitucion es mas del tipo voluntario,pero en   la esclavitud es por obligacion asi que si regularia la prostitucion en vez de la esclavitud"
AUTORITARISMO,Si se deberia imponer la regularizacion de la prostitucion ya que con esto se abriria mas fuentes de trabajo para personas que realmente no tienen de otra manera por donde generar ingresos.
AUTORITARISMO,"Si, ya que se han visto muchas irregularidades en ese campo, tanto mujeres que son obligadas a realizarlos y lugares que son inapropiados para desarrollar dicha actividad"
AUTORITARISMO,"es preferible tener leyes que amparen este tipo de actividades, a que sean maltratadas, igual sigue siendo un trabajo"
AUTORITARISMO,"la prostitucion es un trabajo, y como tal hay que regularlo con leyes que amparen a sus trabajadores"
AUTORITARISMO,"no cre q sea una esclavitud, cada quien tiene la opcion de elegir que quiere ser.. Entonces mas bien creo necesario y conveniente regular la prostitucion"
AUTORITARISMO,"la prostitucion  es una realidad a nivel global, y como tal, debe ser regulado para quienes por libre voluntad deciden dedicarse a este oficio..."
AUTORITARISMO,"no creo que exista esclavitud si lo hacen por libre voluntad… siempre hay otras opciones, pero definitivamente estoy de acuerdo en que sea regulado"
AUTORITARISMO,la prostitucion debe ser regulada
AUTORITARISMO,"la prostitucion es una realidad social a nivel mundial, y como tal debe regularse… lo que no es correcto es que  menores de edad desempeñen este oficio..."
AUTORITARISMO,no creo que regular este oficio tan antiguo sea someter a la esclavitud a quienes lo desempeñan… mas bien creo que es una contribucion para garantizar sus derechos
AUTORITARISMO,"como cualquier otro trabajo debe regularse, y no creo que sea una imposicion porque es una realidad y esta presente en todo el mundo y erradicarlo es casi imposible…"
AUTORITARISMO,deben regular la prostitucion para garantizar los derechos de todos los que lo hacen
AUTORITARISMO,"podria pensarse q esta mal, pero la realidad social es otra, entonces lo mejor es regularlo "
AUTORITARISMO,"estoy de acuerdo, hay que regular la prostitucion"
AUTORITARISMO,el estado tiene la obligacion de garantizar los derechos de todos los ciudadanos y eso tambien incluye a quienes se dedican a la prostitucion
AUTORITARISMO,"no creo que sea una imposicion ni una esclavitud regular la prostitucion, mas bien considero que es una garantia porque se debe regular este trabajo como cualquier otro"
AUTORITARISMO,las prostitutas tambien tienen derechos… no creo que sea una imposicion regular este oficio
AUTORITARISMO,regular la prostitucion 
AUTORITARISMO,"estoy de acuerdo, hay que regular la prostitucion"
AUTORITARISMO,aqui se hace lo que yo digo
AUTORITARISMO,"no estoy pidiendo tu opinion, te lo estoy exigiendo"
AUTORITARISMO,"la prostitucion no es un trabajo digno, se deberia regular de forma muy rigida"
AUTORITARISMO,"lo que yo digo se hace, y no esta en discusion"
AUTORITARISMO,te guste o no se hace lo que yo digo
AUTORITARISMO,hay que promulgar leyes que permitan controlar la prostitucion
AUTORITARISMO,Porque lo digo yo... y punto
AUTORITARISMO,"Si no haces esto, te voy a castigar"
AUTORITARISMO,"Cuando te vayas de esta casa ya podras hacer lo que te de la gana, mientras vivas bajo este techo mandamos tu madre y yo"
AUTORITARISMO,Esta es una democracia dictatorial en la que se hace lo que yo digo
AUTORITARISMO,"Mientras vivas bajo mi mismo techo, seguiras mis reglas"
AUTORITARISMO,"No te estoy preguntando, te lo estoy exigiendo, entendiste!!!"
AUTORITARISMO,"Te guste o no, yo decido lo que se hace!!"
AUTORITARISMO,yo grito cuando me de la gana y a quien me de la gana
AUTORITARISMO,"que se habrá creído este idiota, aquí quien manda soy yo."
AUTORITARISMO,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servicio…
AUTORITARISMO,Regularia la esclavitud
AUTORITARISMO,"Merezco toda tu atencion, escúchame cuando hablo"
AUTORITARISMO,es mejor que aprendan un oficio digno y no tener que controlar la prostitucion
AUTORITARISMO,"esas mujeres no tienen vergüenza, hay que regular con todo el peso de la ley.. La prostitucion es un mal para la sociedad"
AUTORITARISMO,no es una imposición pero si una razón de vida
AUTORITARISMO,"yo soy el jefe, has lo que te digo"
AUTORITARISMO,"esa es mi decisión, fin de la discusión"
AUTORITARISMO,quiero que termines este trabajo para mañana
AUTORITARISMO,no se les olvide que yo soy su jefe.
AUTORITARISMO,porque yo lo digo y punto
AUTORITARISMO,"si yo me voy, nos vamos todos"
AUTORITARISMO,"no me importa si es ético o no, si es legal, hágalo y punto."
AUTORITARISMO,recuerden que todos sin excepción deben llegar temprano.
AUTORITARISMO,agradezca que está trabajando aquí.
AUTORITARISMO,"no te estoy preguntando, entendido!!"
AUTORITARISMO,"esta es la forma en que siempre se ha hecho, no me interesa tu opinión"
AUTORITARISMO,quien dice que no se puede hacer no debe interrumpir a la persona que lo está haciendo
AUTORITARISMO,yo soy quien manda
AUTORITARISMO,"son mis decisiones, y si no les gusta se pueden ir"
AUTORITARISMO,"hasta que cumplas los 18 años, tienes que obecederme"
AUTORITARISMO,"esa es mi decisión, y no se discute."
AUTORITARISMO,"tomalo como te de la gana, pero esa es mi decisión"
AUTORITARISMO,"yo soy quien mantiene este hogar, asi que yo decido."
AUTORITARISMO,"si, este hogar es una dictadura y soy yo el dictador"
AUTORITARISMO,tu problema es que no puedes seguir reglas..
AUTORITARISMO,"Cállate, tú no opines"
AUTORITARISMO,"osea, yo no puedo opinar?, NO, no puedes opinar"
AUTORITARISMO,"en esta casa todos somos católicos, y si no te gusta prefiero que vayas de aquí"
AUTORITARISMO,"ojo por ojo, diente por diente!!, hay que poner mano dura.."
AUTORITARISMO,"cuando ganes tu propio dinero y ayudes a pagar cuentas podrá opinar en esta casas, caso contrario deberás seguir mis reglas, entendido!!"
AUTORITARISMO,"yo soy el jefe de la casa, aquí se hace lo que yo digo"
AUTORITARISMO,"esta es mi empresa, son mis reglas, y si no les gusta los despido, así de simple.."
AUTORITARISMO,"mientras vivan bajo mi techo, comen y visten como yo digo"
AUTORITARISMO,"es mi casa, y aquí mando yo. Ok"
AUTORITARISMO,una nación debe someterse al criterio de su mandante.
AUTORITARISMO,"no te atrevas a desobedecer mis reglas, sino te irá muy mal.."
AUTORITARISMO,pago tus estudios y solo quieres jugar mmvg. Mejor no hubiera tenido un hijo como tú..
AUTORITARISMO,"si no vamos al partido de futbol, no vamos a ningun lado"
AUTORITARISMO,"si tu madre quiere visitarte, que ella venga a la cas, tu no sales a ningún lado, oíste."
AUTORITARISMO,"no necesitas maquillarte, ni pintarte el pelo, quiero una mujer no un payaso.. Así que, quítate esas huevadas"
AUTORITARISMO,la prensa debe hablar o callar cuando su mandante así lo ordene..
AUTORITARISMO,"cuando seas tu propio jefe, podrás tener derechos, por ahora a trabajar!!"
AUTORITARISMO,eres mi novia y debes obeceder lo que yo diga
AUTORITARISMO,debes obedecerme y así tendré la certeza de que me amas
AUTORITARISMO,"para que te casaste conmigo, sino me ibas a obedecer"
AUTORITARISMO,"me interesa un pueblo obediente, no quiero que piensen"
AUTORITARISMO,mientras yo viva me van a obedecer
AUTORITARISMO,cuando su opinión genere dólares la tomaré en cuenta… mientras tanto no digan nada
AUTORITARISMO,"si no apoyas mi idea, el desempleo te espera"
AUTORITARISMO,"yo mantengo, por mi tragas, asi que debes hacer lo que yo diga.."
AUTORITARISMO,"si consideras que tu opinión tiene mas peso que la mia, preparate para quedarte sola"
AUTORITARISMO,mis decisiones no se analizan solo se ejecutan
AUTORITARISMO,"puse orden en tu vida, y aún así te atreves a cuestionar mis decisiones. Eres una mal agradecida!!"
AUTORITARISMO,"No importa lo que digan, yo siempre impongo mis ideas"
AUTORITARISMO,Quiero este trabajo para mañana al medio día..
AUTORITARISMO,"Deberían regular el uso de esas herramientas informáticas, por eso los estudiantes no aprenden"
AUTOSUFICIENCIA,"depende, si tengo un trabajo estable para poder ayudar a mi pareja y su hijo, con la condición de volver a empezar y dejar el pasado atrás."
AUTOSUFICIENCIA,yo no dependo de nadie en este mundo..
AUTOSUFICIENCIA,"no hay que depender de nada ni de nadie en este mundo, porque hasta tu sombra te abandona cuando estas en la oscuridad"
AUTOSUFICIENCIA,"tarde o temprano nos toca estar solos, hay que aprender a caminar sin nadie.."
AUTOSUFICIENCIA,no ruego ni espero nada de nadie
AUTOSUFICIENCIA,se vive mejor sin esperar nada de nadie
AUTOSUFICIENCIA,"no me interesa la opinion de la gente sobre mi vida, mi trabajo, amistades y amores.. Tengo mi propia forma de hacer las cosas, sea buena o sea mala es la mia"
AUTOSUFICIENCIA,"Si bien es cierto todo los niños tienen derecho a tener una familia, sin embargo existimos mujeres que tenemos el deseo de ser madres biologicas, de sentir como crece un ser dentro de nosotras, y contra ese deseo nadie se puede oponer.!! "
AUTOSUFICIENCIA,"Es cierto que las mujeres tienen libertad de decidir sobre su cuerpo, claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el niño tenga una calidad de vida digna y esto esta ligado al derecho de una familia"
AUTOSUFICIENCIA,"La familia es fundamental y constituye el nucleo de la sociedad, pero en algunas ocasiones la madre desde sus inicios asume sola la crianza de sus hijos y eso esta bien sobre todo teniendo los recursos necesarios, inculcandoles valores y dandoles mucho amor."
AUTOSUFICIENCIA,"La madre es la persona la cual trae un ser humano a este mundo. Por lo cual ella tiene en gran parte el derecho de decidir como sera el desarrollo de su hijo , la relacion con las personas que lo rodea. no brindarle una familia a su hijo.sera su responsabilidad "
AUTOSUFICIENCIA,"Estructura familiar es un concepto amplio, no cabe juzgarla por criar un bebe ella sola, pero debe pensar en propiciar la concepcion sin afectar a los demas por su deseo (padre del niño). Ademas de cumplir con las necesidades de su hijo en todos los planos. "
AUTOSUFICIENCIA,"Con tal de que tenga estabilidad tanto laboral y emocional, sera un buen ambiente de crianza "
AUTOSUFICIENCIA,"Las mujeres son libres de elegir el hecho de estar con alguien o no, algunas simplemente tienen el deseo de ser madres. Un concepto retrogrado de familia es papa mama e hijos; actualmente la palabra familia tiene un concepto mucho mas abierto."
AUTOSUFICIENCIA,"Creo que no es negar la posibilidad de una familia, cuando una mujer decide tomar esa responsabilidad es por su felicidad y el compromiso de formar una familia de dos brindando los mismo valores, amor y entrega en ese hogar, no lo que la sociedad nos indica."
AUTOSUFICIENCIA,"el concepto de familia no se debe necesariamente a que un hombre debe de estar en ella como figura paterna y llamarla “familia”, si la mujer tiene el deseo y los recursos economicos para mantener a ella sola un bebe, pues se dara."
AUTOSUFICIENCIA,"La maternidad depende de cada mujer y de las posibilidades que tiene para ofrecer a un niño, lo puede criar sola y generar que crezca con un concepto que no solo la familia esta conformada por: padre, madre e hijos."
AUTOSUFICIENCIA,"En la actualidad el tener una figura paterna y materna no es sinonimo de familia, hay muchas factores en juego y eso no quiere decir que una mujer por cumplir su ""deseo"" de ser madre tenga que adaptarse q los estadares sociales..."
AUTOSUFICIENCIA,"Si hablamos de no darle la oportunidad de tener una familia, creo que debemos entender que Familia no precisamente es tener papa, mama, hermanos etc. Muchas veces las “familias” se conforman por dos personas. El hecho de que una mujer quiera tener un hijo sin estar casada o algo"
AUTOSUFICIENCIA,"No tiene nada de malo que una familia sea solo de madre e hijo, mientras una madre tenga los recursos necesarios para brindarle una vida digna a sus hijos no esta nada mal, no es necesario que el padre del niño este presente para llamar la hogar FAMILIA"
AUTOSUFICIENCIA,"Mientras la mujer se haga responsable , puede decidir que hacer con su cuerpo. Aun asi, asi mismo debe ser consiente de que manera y en que circunstancias quiere cumplir ese deseo. Hay casos donde parejas que no pueden tener hijos buscan-"
AUTOSUFICIENCIA,aqui se toma en cuenta en su mayor parte la responsabilidad que esta dispuesta a tomar
AUTOSUFICIENCIA,"Si una mujer decide tener un hijo sola, debe saber las responsabilidades que esto conlleva, el niño/a puede ser criado con buenos valores y ser una persona de bien, incluso sin la figura paterna. Hay que tener en cuenta que el nucleo familiar en estos tiempos es diverso."
AUTOSUFICIENCIA,Yo creo que esta bien siempre y cuando el padre este de acuerdo a estas reglas muchas mujeres lo hacen para poder cuidar sus bienes y heredar a su hijo mientras El Niño viva bien y nunca le falte el amor ni la atencion esta bien
AUTOSUFICIENCIA,"Todo niño tiene derecho a una familia, pero sobre todo tiene derecho a ser amado. Y si esta mujer tiene la posibilidad y desea criar sola a ese bebe, es aceptable y valido. Se hara cargo de su hijo, a comparacion de otras madres que no lo hacen."
AUTOSUFICIENCIA,"Pienso que la familia es muy valiosa, pero hay en ocasiones que teniendo una, no se ve la felicidad. Entonces si una mujer decide tener un hijo solo y tiene los recursos necesario para sus necesidades, opino que no estaria mal."
AUTOSUFICIENCIA,pienso que toda mujer tiene derecho a tener un hijo de la forma que ella quiera.
AUTOSUFICIENCIA,"cada quien tiene derecho de querer o no querer tener hijos, y a tener una libertad de decision, sin importar opinion de terceros"
