NARCISISTA,RASGO_1,RASGO_2,RASGO_3,COMENTARIOS
SI,INDIFERENCIA,,,"No lo sentiria como mio, pero si sentiria algo de lastima, porque algun sufrimiento no se lo desea ni a su enemigo, en mi posicion lo comprenderia."
SI,INESCRUPULOSO,,,"Creo que si podria sentir ese sufrimiento, a todos en un momento nos a pasado cosas malas y es inevitable no ponerse en los zapatos de otros pero sin embargo considero que cada persona merece lo que da y si hace el bien entonces obtendra el bien"
SI,INESCRUPULOSO,,,"Nunca he tenido enemigos. Pero si alguien me hace un mal a proposito, y esa persona sufre por algun factor que no tiene que ver con el problema entre nosotros, entonces no me alegraria ni nada. Y si esa persona necesita mi ayuda tampoco se la daria"
SI,INDIFERENCIA,,,"si alguien me hace un mal y esa persona sufre por algun motivo que no tiene que ver con el problema entre nosotros, no me alegraria pero tampoco moveria un dedo"
SI,INDIFERENCIA,,,"No podria entender el sufrimiento de esa persona, no es mio, no tomaria parte de eso"
SI,INDIFERENCIA,,,"No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como mio, y pues dentro de lo que mas pueda lo ignoraria."
SI,EGOISMO,,,Todo lo que se haga en interes propio esta justificado
SI,INESCRUPULOSO,,,"No tengo enemigos hasta ahora, pero siendo sincera creo que no lo sintiera como mio, y pues dentro de lo que mas pueda lo ignoraria aunque si es algo muy malo quiza lo ayudaria"
SI,INDIFERENCIA,,,"No podria sentir su dolor como mio, pero si lo que esta pasando es algo grave o fuera del motivo por el cual somos enemigos, podria mostrar empatia por el"
SI,INESCRUPULOSO,,,Todos los hombres buscan una recompensa. Nadie hace nada por nada.
SI,INDIFERENCIA,,,No podria alegrarme por su sufrimiento pero tampoco lo sentiria como mio.
SI,INDIFERENCIA,,,No me interesaria saber nada de esa persona
SI,INDIFERENCIA,,,"La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que haria es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situacion de el."
SI,EGOISMO,,,"Tu no puedes, ni lo intentes."
SI,INDIFERENCIA,,,"No sentiria nada, simplemente si esta en mi posibilidad ayudar, lo hago, sino, para la proxima sera."
SI,INDIFERENCIA,,,"Que pena, pero no sentiria nada por esa persona"
SI,INDIFERENCIA,,,si es mi enemigo que se vaya a la verga
SI,INDIFERENCIA,,,yo no le tengo rencor a nadie pero de ser el caso trataria de ayudarlo hasta donde pueda tampoco quisiera entrometerme mucho ni exagerar mi ayuda.
SI,INESCRUPULOSO,,,Todos buscan una recompensa. Nadie hace nada gratis ni por amor.
SI,EGOISMO,,,Y a mi quien me ayuda�
SI,INESCRUPULOSO,,,Ni mi apoyo moral se merece mi enemigo
SI,INESCRUPULOSO,,,"No me interesa saber de mis enemigos, que se mueran�"
SI,INDIFERENCIA,,,"si acaso tuviera un enemigo no sintiera nada al respecto, quiza lo ayude como a cualquier ser humano.."
SI,INDIFERENCIA,,,"No lo sentiria como mi sufrimiento, sin embargo tampoco sentiria felicidad por la angustia de otra persona, eso no es ser una persona etica"
SI,PRETENSION,,,"Te caigo mal… hay que pena, jiji"
SI,PRETENSION,,,"ayudaria a cualquier persona conocida o desconocida sin ningun problema, claro esta si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daria igual."
SI,PRETENSION,,,"si esta persona desea mi ayuda podria hacerlo; caso contrario, de no necesitar o querer mi ayuda, pues me daria igual."
SI,INDIFERENCIA,,,"yo creo que el karma le estaria devolviendo el daño causado, y no sentiria nada de tristeza por esa persona"
SI,EGOISMO,,,me da igual.. No me interesaria
SI,INDIFERENCIA,,,te voy a ignorar tanto que vas a dudar de tu existencia�
SI,PRETENSION,,,"soy de la idea que no debemos desearle el mal a nadie y ante el surimiento de mi enemigo, mi pensar es que no lo sentiria como mio aunque si me gustaria ayudarlo pero de manera indirecta."
SI,INDIFERENCIA,,,"si el problema no me afecta a mi, la verdad no me intersa!!"
SI,INESCRUPULOSO,,,si es mi enemigo que se pudra en el infierno.
SI,PRETENSION,,,No sentiria el dolor como mio...quiza algo de empatia y si puedo lo ayudaria tampoco me gustaria que se burlen alguna desgracia mia. No hagas lo que no quieres que te hagan.
SI,INDIFERENCIA,,,"No me intersa su pena, que se vaya al carajo!!! Y que pague el karma asi de simple"
SI,PRETENSION,,,Que se vaya quien no se sienta afortunado y bendecido de tenerme en su vida.. No me interesa.
SI,INESCRUPULOSO,,,observaria su desgracia y lo tomaria como un merecido porque todo en esta vida se paga
SI,INDIFERENCIA,,,"no me interesa, ese es su problema."
SI,EGOISMO,,,"No haria nada, prefiero ignorar, que resuelva solo su asunto"
SI,PRETENSION,,,"quisiera ponerme en tus zapatos, pero son tan feos y corrientes… jajajaja"
SI,PRETENSION,,,"No podria sentir ese sufrimiento del cual este pasando. Pero de lo que estoy segura, que si necesitaria mi ayuda, se la brindare. Ya que a veces pasamos por muchas circunstancias y no sabemos quienes podran ayudarnos. Del quien menos se lo espera."
SI,VANIDAD,,,Me gustaria ser millonaria porque rica y mamacita ya estoy!! ;)
SI,INDIFERENCIA,,,"Creo que depende mucho de mi situacion con esa persona, tal vez lo que sufre puede ser el famoso “karma” por sus malas acciones no me alegraria por ello pero tampoco lo aplastaria mas, dejaria que el solucione sus probl"
SI,INDIFERENCIA,,,"no me alegraria del sufrimiento ajeno, dejaria que el solucione sus problemas"
SI,INDIFERENCIA,,,"alegrarse por el sufrimiento de otro ser humano no es correcto ni etico. Sin embargo, existe un Karma que si hemos hecho mal o bien el tiempo es el unico que lo hace pagar."
SI,SUPERIORIDAD,,,"no te deseo ningun mal, con esa cara y ese cuerpo ya tienes mas que suficiente jajaja"
SI,SUPERIORIDAD,,,"yo no me creo, yo soy, y soy mas que ti"
SI,INESCRUPULOSO,,,"Depende de que tipo de sufrimiento sea, por ejemplo si esta sufriendo por alguna enfermedad de algun padre o hermanos entonces lo ayudaria, pero si es un acto que el mismo se provoco y por eso esta sufriendo entonces no lo ayudo para que escarmiente."
SI,INDIFERENCIA,,,no lo ayudo para que escarmiente y que sufra todo lo que tenga que sufrir.
SI,INESCRUPULOSO,,,"no lo ayudaria aunque pudiera… no me intersa, cambiaria de te"
SI,INDIFERENCIA,,,"Ignorar, es algo que no haria, porque a pesar de todo lo que a causado sigue siendo una persona igual que nosotros, sin embargo si llego hacerlo me convertiria en mi propio peor enemigo, la verdad no haria nada"
SI,INDIFERENCIA,,,"no me sentiria mal, a la final no es mi problema"
SI,EGOISMO,,,"no soy madre teresa de calcuta, no puedo solucionar el problema de otros, y peor el de mis enemigos.."
SI,PRETENSION,,,"no hay que sentirse mal cuando alguien nos rechaza, la gente normalmente rechaza lo costoso porque no puede pagarlo.. "
SI,INDIFERENCIA,,,"No tengo enemigos y si fuera asi, ignoraria el tema"
SI,INESCRUPULOSO,,,"si mi enemigo me pide ayuda, quiza lo haria siempre que este en mis manos."
SI,EGOISMO,,,yo no ruego a nadie… si se va que se va
SI,INESCRUPULOSO,,,"No sentirlo como mio.. pero de igual manera buscaria ayudarle o simplemente escucharle, en eso esta la empatia"
SI,INESCRUPULOSO,,,"No compartiria el sufrimiento, tampoco me alegraria por su situacion, solo lograria asimilar lo ocurrido, si la situacion implica ayudar pero de manera indirecta."
SI,SUPERIORIDAD,,,"me parece un poco dificil hablar de mi, el hablar de mi es muy severo porque soy mucho mejor de lo que parezco"
SI,INESCRUPULOSO,,,Lo sentiria y trataria de ayudarle solo si es de el/ella dejarse ayudar.
SI,INESCRUPULOSO,,,yo diria que pase un poco de karma
SI,INESCRUPULOSO,,,"Yo no me sentiria feliz o complacido. Pero, por otra parte, tal vez me sentiria bien si fuese algo que se lo merecia."
SI,INESCRUPULOSO,,,Yo me sentiria feliz y complacido… el karma se ha cumplid
SI,INESCRUPULOSO,,,"No lo puedo sentir su dolor como mio, pero si sentiria compasion por el "
SI,PRETENSION,,,a quien le duela mi felicidad que se sobe con su fracaso
SI,INDIFERENCIA,,,No le deseo el mal a nadie simplemente cambiaria el tema
SI,SUPERIORIDAD,,,"nadie me puede imitar soy unica en el mundo, maravillosa"
SI,INDIFERENCIA,,,Dependiendo si mi enemigo es malo entonces nesesita aprender de las consecuencias para que cambie algo de su personalidad. Caso contrario el sufrimiento no se los desearia a nadie.
SI,VANIDAD,,,mas vale llegar tarde que fea
SI,INESCRUPULOSO,,,"Respeto genera respeto, simplemente me mantendria al margen, pero si necesita mi ayuda lo apoyaria porque tampoco seria tan inhumano, a la final nunca sabes las vueltas que puede dar la vida, y en algun momento tendras que necesitar de esa persona."
SI,INESCRUPULOSO,,,"dependiendo, que ganaria yo, lo podria ayudar�"
SI,INDIFERENCIA,,,no puedo ayudar a un enemigo..
SI,VANIDAD,,,"el dinero no da la felicidad, aahh pero como calma los nervios jijiji"
SI,INESCRUPULOSO,,,"Pues la verdad, no lo sentiria como mio pero tampoco seria insensible, lo ayudaria para mostrarle que ante cualquier problema existe bondad y que se puede cambiar"
SI,SUPERIORIDAD,,,es mejor hablar muy bien de mi que hablar mal de los demas
SI,INDIFERENCIA,,,"no podria imaginarme como se esta sintiendo, si necesita ayuda se la brindaria y sino tiene que ver conmigo,no me meteria"
SI,INDIFERENCIA,,,"Nadie puede sentir el sufrimiento de otra persona por mas que intente ponerse en su lugar , ya que los sentimientos son diferentes en cada ser."
SI,INDIFERENCIA,,,"Es un tema muy delicado, prefiero no opinar"
SI,INDIFERENCIA,,,"Probablemente no lo sienta como mio, pero trataria de ser empatica con el/ella."
SI,EGOISMO,,,nunca he querido a nadie como me quiero a mi misma. Por eso nadie me ha hecho sufir..
SI,INESCRUPULOSO,,,No podria llegar a sentir su sufrimiento como mio pero aun asi el poder de la empatia me haria sentir algo por lo que buscaria ayudarla.
SI,INDIFERENCIA,,,Creo que no hay que desearle el mal a nadie. No me alegraria simplemente lo ignoro.
SI,INDIFERENCIA,,,creo que el sufrimiento de cada persona moldea y forja el caracter; y la templanza  de cada persona ya que tendra que tener el valor y coraje suficiente para sobrellevarlo y seguir adelante y con el tiempo superarlo.. Dejaria que siga el curso de las cosas.
SI,PRETENSION,,,si uno es guapo por dentro naturalmente se refleja y embellece el exterior
SI,INDIFERENCIA,,,Ignoro el tema
SI,PRETENSION,,,yo que culpa tengo de ser tan hermosa!
SI,INESCRUPULOSO,,,disfrutaria el sufrimiento de mi peor enemigo.
SI,PRETENSION,,,"yo no me creo la divina pomada, yo soy la pomada divina :) :) :)"
SI,INDIFERENCIA,,,"lo mejor es no recordarlo, y tan solo ignorarlo, para asi no tener la mente ocupada en basuras."
SI,PRETENSION,,,"a mi me gusta que me presuman, alla que escondan a las feas jijiji"
SI,INDIFERENCIA,,,"No tengo enemigos, pero si ese fuera el caso, posiblemente ignoraria el tema, ya que por alguna razon fuerte se convirtio en mi enemigo."
SI,PRETENSION,,,que pena que yo provoque tanta envidia a un poco de feas
SI,INDIFERENCIA,,,Ignorar el tema
SI,SUPERIORIDAD,,,"soy hermoso, culto, inteligente soy lo mejor de este mundo, nadie me puede superar"
