NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,AUTORITARISMO,,,MANUAL,agradezca que está trabajando aqu�
SI,AUTORITARISMO,,,MANUAL,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servici
SI,AUTORITARISMO,,,MANUAL,"Cállate, tú no opin"
SI,AUTORITARISMO,,,MANUAL,"como cualquier otro trabajo debe regularse, y no creo que sea una imposicion porque es una realidad y esta presente en todo el mundo y erradicarlo es casi imposible�"
SI,AUTORITARISMO,,,MANUAL,"Como sociedad equitativa, todo trabajo debe ser regularizado, ya que se fundarían bases para que no se convierta en esclavitud. Muy aparte de promover trabajos dignos a futuro a quienes lastimosamente se dedican a esta profesió"
SI,AUTORITARISMO,,,MANUAL,Considero que regularía la esclavitud porque ningún ser humano merece ser esclavo de nadi
SI,AUTORITARISMO,,,MANUAL,"Controversial sin duda y no es que debe imponerse una regularizacion, pero si debe regularse para mas control de problemas sociales que llevan a la prostitucion, mujeres y hombres son esclavizados con estas practicas por querer cubrir sus necesidad basicas "
SI,AUTORITARISMO,,,MANUAL,"Creo que depende de muchas cosas pero sobre todo la persona que quiera estar debe aceptar querer a mis hijos, porque es algo que no estará en discusi�"
SI,AUTORITARISMO,,,MANUAL,"creo que prioridad sería la regularización de la esclavitud, pues en muchos casos, las personas prostituidas no se dedican a esa labor por voluntad propia, entonces se estaría buscando solución para los ambos l"
SI,AUTORITARISMO,,,MANUAL,"creo que sería complicado, porque me gustaría que mi hijo se críe bajo mis conceptos y mis id"
SI,AUTORITARISMO,,,MANUAL,"cuando ganes tu propio dinero y ayudes a pagar cuentas podrá opinar en esta casas, caso contrario deberás seguir mis reglas, entendido"
SI,AUTORITARISMO,,,MANUAL,"cuando seas tu propio jefe, podrás tener derechos, por ahora a trabajar!"
SI,AUTORITARISMO,,,MANUAL,cuando su opinión genere dólares la tomaré en cuenta… mientras tanto no digan
SI,AUTORITARISMO,,,MANUAL,"Cuando te vayas de esta casa ya podras hacer lo que te de la gana, mientras vivas bajo este techo mandamos tu madre y yo"
SI,AUTORITARISMO,,,MANUAL,"cuando yo esté con mis amistades, usted no debe hablar, me haces pasar vergüen"
SI,AUTORITARISMO,,,MANUAL,deben regular la prostitucion para garantizar los derechos de todos los que lo hacen
