NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA,
SI,AUTOSUFICIENCIA,,,TEST,"La familia no es una jerarquia y no tiene una estructura determinada en sus integrantes, si el individuo esta en las capacidades de proteger y proveer lo necesario a los hijos, es apto para la crianza."," si realmente me amas, pues tendras que aguantarme"
SI,AUTOSUFICIENCIA,,,TEST,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el hijo tiene el derecho de tener una familia.,APOYO!!! Es la herramienta escencial que procura el desarrollo y la union de la sociedad nacional.
SI,AUTOSUFICIENCIA,,,TEST,es bonito ser madre pero tambien es bonito tener una familia . Miopinio es que la mujer puede buscar cualquier forma para embarazarse pero tambien debe darle una familia al bebe.,
SI,AUTOSUFICIENCIA,,,MANUAL,"es libre de decidir ya que hoy en dia hay mas libertad de eleccion, lo importante es evitar trastornos posteriores","pues la verdad no, cada uno debe hacerse cargo de sus errores."
SI,AUTOSUFICIENCIA,,,MANUAL,Pues si pueden y quieren tienen derecho a cumplir su ilusion de ser madres de cualquier forma,
SI,AUTOSUFICIENCIA,,,MANUAL,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho ,"Si ya se estan regulando otros asuntos, el impacto de regular la prostitucion, aunque conlleve esclavitud de las victimas, incluso podria tener efectos contrarios al pensamiento comun, por ende, si la impondria."
SI,AUTOSUFICIENCIA,,,MANUAL,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener al hijo.",
SI,AUTOSUFICIENCIA,,,MANUAL,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a ese hijo pues estaria en todo su derecho.","Controversial sin duda y no es que debe imponerse una regularizacion, pero si debe regularse para mas control de problemas sociales que llevan a la prostitucion, mujeres y hombres son esclavizados con estas practicas por querer cubrir sus necesidad basicas "
SI,AUTOSUFICIENCIA,,,TEST,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia con ese nuevo ser.","Si.ya que aunque no se regularice seguira existiendo ,entonces seria mejor darle una formalizCion"
SI,AUTOSUFICIENCIA,,,TEST,"La familia debe conceptualizarse como la o las personas que le puedan entregar todo lo necesario al menor para poder desarrollarse en un buen ambiente, mientras la mujer pueda otorgarle eso al bebe no habria problema. ",
SI,AUTOSUFICIENCIA,,,TEST,En realidad cada mujer siente deseo de ser madre y aunque no tenga un hombre a lado puede ser feliz y no es que sea egoista,
SI,AUTOSUFICIENCIA,,,TEST,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los hijos no deben sufrir.,"Falso dilema, prostitucion no es igual a esclavitud. Y si, debe regularse para que las personas que ejerciendo soberanamente su libertad de elegir un oficio adquieran derechos que otros trabajadores ya tienen. "
SI,AUTOSUFICIENCIA,,,MANUAL,una madre soltera hoy en dia es un paradigma ante la sociedad y criticas de las personas incluso en el mismo entorno familiar,Claro que si es muy fundamental regularizar la prostitucion porque se ve muchos casos que niñas son raptadas para este trabajo de esclavitud y pues algunas de ellas por decision propia pero para el sustento de sus hogares ya que muchas de ellas son de escasos recursos
SI,AUTOSUFICIENCIA,,,MANUAL,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener a ese nuevo ser",Regular la esclavitud. (Aunque junto a la prostitucion pueden ser casi lo mismo)
SI,AUTOSUFICIENCIA,,,MANUAL,Mientras la mujer c haga responsable de las consecuencias todo esta bien.,"si, en el mundo de la prostitucion muchas veces se encuentran personas obligadas , y esta mal explotar a personas que no quieren ya que no es respetar su dignidad, aun asi existen personas que lo ejercen por voluntad propia y estan en su derecho."
SI,AUTOSUFICIENCIA,,,TEST,cada quien es libre de decidir,"Hmm los dos son como tipo esclavismo, pero la prostitucion es mas del tipo voluntario,pero en   la esclavitud es por obligacion asi que si regularia la prostitucion en vez de la esclavitud"
SI,AUTOSUFICIENCIA,,,TEST,cada quien toma sus propias decisiones, Si se deberia imponer la regularizacion de la prostitucion ya que con esto se abriria mas fuentes de trabajo para personas que realmente no tienen de otra manera por donde generar ingresos.
SI,AUTOSUFICIENCIA,,,TEST,Es muy lindo ser madre pero tambien es lindo tener una familia. Cualquier madre tiene derecho a cumplir sus deseos.,"Si, ya que se han visto muchas irregularidades en ese campo, tanto mujeres que son obligadas a realizarlos y lugares que son inapropiados para desarrollar dicha actividad"
SI,AUTOSUFICIENCIA,,,MANUAL,"es de mucha importancia ser madre y cuidar con responsabilidad, aunq no se tenga una familia por desicion de la madre , se debe respetar aquello mientras asuma las consecuencias .","es preferible tener leyes que amparen este tipo de actividades, a que sean maltratadas, igual sigue siendo un trabajo"
