NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,AUTORITARISMO,,,TEST,"creo que seria complicado, porque me gustaria que mi hijo se crie bajo mis conceptos y mis ideas"
SI,AUTORITARISMO,,,TEST,"Si ya se estan regulando otros asuntos, el impacto de regular la prostitucion, aunque conlleve esclavitud de las victimas, incluso podria tener efectos contrarios al pensamiento comun, por ende, si la impondria."
SI,AUTORITARISMO,,,MANUAL,"Controversial sin duda y no es que debe imponerse una regularizacion, pero si debe regularse para mas control de problemas sociales que llevan a la prostitucion, mujeres y hombres son esclavizados con estas practicas por querer cubrir sus necesidad basicas "
SI,AUTORITARISMO,,,MANUAL,"Si. ya que aunque no se regularice seguira existiendo ,entonces seria mejor darle una formalizacion"
SI,AUTORITARISMO,,,MANUAL,"Falso dilema, prostitucion no es igual a esclavitud. Y si, debe regularse para que las personas que ejerciendo soberanamente su libertad de elegir un oficio adquieran derechos que otros trabajadores ya tienen. "
SI,AUTORITARISMO,,,TEST,Claro que si es muy fundamental regularizar la prostitucion porque se ve muchos casos que niñas son raptadas para este trabajo de esclavitud y pues algunas de ellas por decision propia pero para el sustento de sus hogares ya que muchas de ellas son de escasos recursos
SI,AUTORITARISMO,,,TEST,Regular la esclavitud. (Aunque junto a la prostitucion pueden ser casi lo mismo)
SI,AUTORITARISMO,,,TEST,"si, en el mundo de la prostitucion muchas veces se encuentran personas obligadas , y esta mal explotar a personas que no quieren ya que no es respetar su dignidad, aun asi existen personas que lo ejercen por voluntad propia y estan en su derecho."
SI,AUTORITARISMO,,,TEST,"Hmm los dos son como tipo esclavismo, pero la prostitucion es mas del tipo voluntario,pero en   la esclavitud es por obligacion asi que si regularia la prostitucion en vez de la esclavitud"
SI,AUTORITARISMO,,,MANUAL,Si se deberia imponer la regularizacion de la prostitucion ya que con esto se abriria mas fuentes de trabajo para personas que realmente no tienen de otra manera por donde generar ingresos.
SI,AUTORITARISMO,,,MANUAL,"Si, ya que se han visto muchas irregularidades en ese campo, tanto mujeres que son obligadas a realizarlos y lugares que son inapropiados para desarrollar dicha actividad"
SI,AUTORITARISMO,,,MANUAL,"es preferible tener leyes que amparen este tipo de actividades, a que sean maltratadas, igual sigue siendo un trabajo"
SI,AUTORITARISMO,,,MANUAL,"la prostitucion es un trabajo, y como tal hay que regularlo con leyes que amparen a sus trabajadores"
SI,AUTORITARISMO,,,MANUAL,"no cre q sea una esclavitud, cada quien tiene la opcion de elegir que quiere ser.. Entonces mas bien creo necesario y conveniente regular la prostitucion"
SI,AUTORITARISMO,,,TEST,"la prostitucion  es una realidad a nivel global, y como tal, debe ser regulado para quienes por libre voluntad deciden dedicarse a este oficio..."
SI,AUTORITARISMO,,,TEST,"no creo que exista esclavitud si lo hacen por libre voluntad… siempre hay otras opciones, pero definitivamente estoy de acuerdo en que sea regula"
SI,AUTORITARISMO,,,TEST,la prostitucion debe ser regulada
SI,AUTORITARISMO,,,TEST,"la prostitucion es una realidad social a nivel mundial, y como tal debe regularse… lo que no es correcto es que  menores de edad desempeñen este oficio"
SI,AUTORITARISMO,,,MANUAL,no creo que regular este oficio tan antiguo sea someter a la esclavitud a quienes lo desempeñan… mas bien creo que es una contribucion para garantizar sus derec
SI,AUTORITARISMO,,,MANUAL,"como cualquier otro trabajo debe regularse, y no creo que sea una imposicion porque es una realidad y esta presente en todo el mundo y erradicarlo es casi imposible�"
SI,AUTORITARISMO,,,MANUAL,deben regular la prostitucion para garantizar los derechos de todos los que lo hacen
SI,AUTORITARISMO,,,MANUAL,"podria pensarse q esta mal, pero la realidad social es otra, entonces lo mejor es regularlo "
SI,AUTORITARISMO,,,MANUAL,"estoy de acuerdo, hay que regular la prostitucion"
SI,AUTORITARISMO,,,TEST,las prostitutas tambien tienen derechos… no creo que sea una imposicion regular este ofic
SI,AUTORITARISMO,,,MANUAL,"si realmente me amas, pues tendras que aguantarme"
SI,AUTORITARISMO,,,TEST,APOYO!!! Es la herramienta escencial que procura el desarrollo y la union de la sociedad nacional.
SI,AUTORITARISMO,,,TEST,el estado tiene la obligacion de garantizar los derechos de todos los ciudadanos y eso tambien incluye a quienes se dedican a la prostitucion
SI,AUTORITARISMO,,,TEST,"no creo que sea una imposicion ni una esclavitud regular la prostitucion, mas bien considero que es una garantia porque se debe regular este trabajo como cualquier otro"
SI,AUTORITARISMO,,,TEST,regular la prostitucion 
SI,AUTORITARISMO,,,TEST,"estoy de acuerdo, hay que regular la prostitucion"
SI,AUTORITARISMO,,,TEST,aqui se hace lo que yo digo
SI,AUTORITARISMO,,,TEST,"no estoy pidiendo tu opinion, te lo estoy exigiendo"
SI,AUTORITARISMO,,,MANUAL,"la prostitucion no es un trabajo digno, se deberia regular de forma muy rigida"
SI,AUTORITARISMO,,,MANUAL,"lo que yo digo se hace, y no esta en discusion"
SI,AUTORITARISMO,,,MANUAL,te guste o no se hace lo que yo digo
SI,AUTORITARISMO,,,MANUAL,"yo tengo el poder absoluto, y se hace lo que yo quiero"
SI,AUTORITARISMO,,,MANUAL,hay que promulgar leyes que permitan controlar la prostitucion
SI,AUTORITARISMO,,,TEST,Porque lo digo yo... y punto
SI,AUTORITARISMO,,,TEST,"Si no haces esto, te voy a castigar"
SI,AUTORITARISMO,,,TEST,"Cuando te vayas de esta casa ya podras hacer lo que te de la gana, mientras vivas bajo este techo mandamos tu madre y yo"
SI,AUTORITARISMO,,,MANUAL,Esta es una democracia dictatorial en la que se hace lo que yo digo
SI,AUTORITARISMO,,,MANUAL,"Mientras vivas bajo mi mismo techo, seguiras mis reglas"
SI,AUTORITARISMO,,,MANUAL,"No te estoy preguntando, te lo estoy exigiendo, entendiste!!!"
SI,AUTORITARISMO,,,MANUAL,"Te guste o no, yo decido lo que se hace!!"
SI,AUTORITARISMO,,,TEST,yo grito cuando me de la gana y a quien me de la gana
SI,AUTORITARISMO,,,TEST,"no te estoy preguntando cara de verga, te lo estoy diciendo"
SI,AUTORITARISMO,,,TEST,"que se habra creido este idiota, aqui quien manda soy yo."
SI,AUTORITARISMO,,,TEST,"ni yo soy gaga ni usted es sordo, tiene que hacer lo que le dije"
SI,AUTORITARISMO,,,MANUAL,"es mi casa no la tuya, y se hace lo que yo quiero"
SI,AUTORITARISMO,,,MANUAL,"Si me encuentras ofensivo, entonces te sugiero que dejes de encontrarme."
SI,AUTORITARISMO,,,MANUAL,Existen diversos factores que influyen en esta situacion pero a criterio personal no lo haria porque quiero que mis hijos sigan mis creencias y mis ideas
SI,AUTORITARISMO,,,MANUAL,cada quien decide que ser y hacer… y en este caso la prostitucion si debe ser regulada por el estado tanto para quienes lo hacen como para quienes solicitan el servici
SI,AUTORITARISMO,,,MANUAL,Regularia la esclavitud
SI,AUTORITARISMO,,,MANUAL,"si realmente me amas, pues tendras que aguantarme"
SI,AUTORITARISMO,,,MANUAL,APOYO!!! Es la herramienta escencial que procura el desarrollo y la union de la sociedad nacional.
SI,AUTORITARISMO,,,TEST,"Podria ser que si, ya que la persona deberia tratar muy bien no solo a la pareja sino tambien a su hijo y a la vez que sea mutuo, y tener bien en claro que siempre estara esa otra persona ya sea padre o madre para velar por su hijo aunque esten separados "
SI,AUTORITARISMO,,,TEST,"pues la verdad no, cada uno debe hacerse cargo de sus errores, y principalmente aceptar los consejos y puntos de vista de las personas que intentan ayudar"
SI,AUTORITARISMO,,,MANUAL,"creo que seria complicado, porque me gustaria que mi hijo se crie bajo mis conceptos y mis ideas"
SI,AUTORITARISMO,,,TEST,"Si ya se estan regulando otros asuntos, el impacto de regular la prostitucion, aunque conlleve esclavitud de las victimas, incluso podria tener efectos contrarios al pensamiento comun, por ende, si la impondria."
SI,AUTORITARISMO,,,TEST,"depende, si tengo un trabajo estable para poder ayudar a mi pareja y su hijo, con la condicion de volver a empezar y dejar el pasado atras."
SI,AUTORITARISMO,,,MANUAL,"Controversial sin duda y no es que debe imponerse una regularizacion, pero si debe regularse para mas control de problemas sociales que llevan a la prostitucion, mujeres y hombres son esclavizados con estas practicas por querer cubrir sus necesidad basicas "
SI,AUTORITARISMO,,,MANUAL,"Si. ya que aunque no se regularice seguira existiendo ,entonces seria mejor darle una formalizacion"
SI,AUTORITARISMO,,,MANUAL,"Creo que depende de muchas cosas pero sobre todo la persona que quiera estar debe aceptar querer a mis hijos, porque es algo que no estara en discusion"
SI,AUTORITARISMO,,,MANUAL,"Es algo complicado,  a mi me gustaria criar a un hijo bajo mis convicciones, y con un hijo ajeno, no creo que podria"
SI,AUTORITARISMO,,,MANUAL,"Falso dilema, prostitucion no es igual a esclavitud. Y si, debe regularse para que las personas que ejerciendo soberanamente su libertad de elegir un oficio adquieran derechos que otros trabajadores ya tienen. "
SI,AUTORITARISMO,,,MANUAL,Claro que si es muy fundamental regularizar la prostitucion porque se ve muchos casos que niñas son raptadas para este trabajo de esclavitud y pues algunas de ellas por decision propia pero para el sustento de sus hogares ya que muchas de ellas son de escasos recursos
SI,AUTORITARISMO,,,MANUAL,Regular la esclavitud. (Aunque junto a la prostitucion pueden ser casi lo mismo)
SI,AUTORITARISMO,,,MANUAL,"si, en el mundo de la prostitucion muchas veces se encuentran personas obligadas , y esta mal explotar a personas que no quieren ya que no es respetar su dignidad, aun asi existen personas que lo ejercen por voluntad propia y estan en su derecho."
