NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,AUTOSUFICIENCIA,,,TEST,"La familia no es una jerarquia y no tiene una estructura determinada en sus integrantes, si el individuo esta en las capacidades de proteger y proveer lo necesario a los hijos, es apto para la crianza."
SI,AUTOSUFICIENCIA,,,TEST,las mujeres estan en todo el derecho de ser madres de cualquier manera posible.. pero tambien el hijo tiene el derecho de tener una familia.
SI,AUTOSUFICIENCIA,,,TEST,es bonito ser madre pero tambien es bonito tener una familia . Miopinio es que la mujer puede buscar cualquier forma para embarazarse pero tambien debe darle una familia al bebe.
SI,AUTOSUFICIENCIA,,,MANUAL,"es libre de decidir ya que hoy en dia hay mas libertad de eleccion, lo importante es evitar trastornos posteriores"
SI,AUTOSUFICIENCIA,,,MANUAL,Pues si pueden y quieren tienen derecho a cumplir su ilusion de ser madres de cualquier forma
SI,AUTOSUFICIENCIA,,,MANUAL,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho 
SI,AUTOSUFICIENCIA,,,MANUAL,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener al hijo."
SI,AUTOSUFICIENCIA,,,MANUAL,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer esta economicamente estable y cuenta con tiempo para cuidar a ese hijo pues estaria en todo su derecho."
SI,AUTOSUFICIENCIA,,,TEST,"Si se siente capaz tanto economica, fisica y emocional, estan en todo su derecho de experimentar la dicha de ser madre. Debemos eliminar el estereotipo de que una familia es un hombre y una mujer, ya que lo primordial es dar amor y tener paciencia con ese nuevo ser."
SI,AUTOSUFICIENCIA,,,TEST,"La familia debe conceptualizarse como la o las personas que le puedan entregar todo lo necesario al menor para poder desarrollarse en un buen ambiente, mientras la mujer pueda otorgarle eso al bebe no habria problema. "
SI,AUTOSUFICIENCIA,,,TEST,En realidad cada mujer siente deseo de ser madre y aunque no tenga un hombre a lado puede ser feliz y no es que sea egoista
SI,AUTOSUFICIENCIA,,,TEST,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los hijos no deben sufrir.
SI,AUTOSUFICIENCIA,,,MANUAL,una madre soltera hoy en dia es un paradigma ante la sociedad y criticas de las personas incluso en el mismo entorno familiar
SI,AUTOSUFICIENCIA,,,MANUAL,"En primer lugar la madre debe tener la estabilidad economica, para poder mantener a ese nuevo ser"
SI,AUTOSUFICIENCIA,,,MANUAL,Mientras la mujer c haga responsable de las consecuencias todo esta bien.
SI,AUTOSUFICIENCIA,,,TEST,cada quien es libre de decidir
SI,AUTOSUFICIENCIA,,,TEST,cada quien toma sus propias decisiones
SI,AUTOSUFICIENCIA,,,TEST,Es muy lindo ser madre pero tambien es lindo tener una familia. Cualquier madre tiene derecho a cumplir sus deseos.
SI,AUTOSUFICIENCIA,,,MANUAL,"es de mucha importancia ser madre y cuidar con responsabilidad, aunq no se tenga una familia por desicion de la madre , se debe respetar aquello mientras asuma las consecuencias ."
SI,AUTOSUFICIENCIA,,,MANUAL,"Ser madre soltera no es ningun crimen, y una familia no deja de ser familia por no tener a una pareja sentimental, en este caso la figura paterna. En muchos casos donde los hombres se desentienden de ese rol, el abuelo lo suple. "
SI,AUTOSUFICIENCIA,,,MANUAL,"todo es posible en esta vida , siempre y cuando todas las personas nos hagamos responsable de nuestros actos"
SI,AUTOSUFICIENCIA,,,TEST,"claro esta que si tienen el deseo de ser madres estan en su derecho pero debe ser con responsabilidad, que el bebe tenga una calidad de vida digna y esto esta ligado al derecho de una familia"
SI,AUTOSUFICIENCIA,,,TEST,"en esta vida todo es posible y mas aun si se trata de cumplir un deseo ... aqui todo es valido ya que sabemos que una familia se cria con amor y sobre todo responsabilidad , asi que estoy en total acuerdo, es psoible criar a un hijo sola no es necesaria la compañia de un hombr"
