NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,EXHIBICIONISMO,,,MANUAL,mis acciones son mias y no requiren la opinion de nadie.. Y mi cuerpo es mio y puedo hacer lo que quiera con el�
SI,EXHIBICIONISMO,,,MANUAL,"que nos vean cual es el problema, el sexo es natural, es normal"
SI,EXHIBICIONISMO,,,MANUAL,el sexo no es pecado… es parte de la naturaleza humana… y amo a la naturalez
SI,EXHIBICIONISMO,,,MANUAL,que emocion seria mirar esos cuerpos desnudos en una porno jajajaja :)
SI,EXHIBICIONISMO,,,MANUAL,"sin vergüenza, que la vida es una sol"
SI,EXHIBICIONISMO,,,MANUAL,hay que verse bien si queremos llamar un poco mas la atencion
SI,EXHIBICIONISMO,,,MANUAL,"querelo todo y no estar dispuesto a nada no tiene sentido… a veces hay que exhibirse un poquito, el mundo no es perfec"
SI,EXHIBICIONISMO,,,MANUAL,"a veces es necesario saltarse algunas reglas ""morales"" e ir directamente al objetivo… aqui es justificar los medios, todos saldremos ganando y con un momento de extasis fantastico "
SI,EXHIBICIONISMO,,,MANUAL,a veces hay que exponerse un poquito para alcanzar grandes cosas
SI,EXHIBICIONISMO,,,MANUAL,"no hay que desaprovechar las oportunidades :) dejaria de lado la vergüenza y el sentido moralista, y si aceptaria el trato.."
SI,EXHIBICIONISMO,,,MANUAL,"es mejor usar una ropa que seduce, atrae y roba miradas… que verse aburrida "
SI,EXHIBICIONISMO,,,TEST,"Depende, si hablo con ella y aun asi lo acepta, ademas si ella pide algo a cambio seria un ganar ganar"
SI,EXHIBICIONISMO,,,MANUAL,"yo no obligo nada a nadie, pero si estamos de acuerdo con firmar la escenita xxx por que no??, con una lavadita todo se quita jijiji"
SI,EXHIBICIONISMO,,,TEST,"depende de la situacion, y de las clausulas del contrato xxx jajjaja si todos estamos de acuerdo, porque no hacerlo?? "
SI,EXHIBICIONISMO,,,MANUAL,"es nuestro cuerpo, y si estamos de acuerdo, no creo que exista problema "
SI,EXHIBICIONISMO,,,TEST,a veces hay que probar cosas nuevas… si lo har
SI,EXHIBICIONISMO,,,MANUAL,"si nadie esta obligado, y todos aceptamos el trato, creo que si lo haria�"
SI,EXHIBICIONISMO,,,MANUAL,"depende, si en mi profesion es necesario verse bien, quiza gastaria una parte de la herencia"
SI,EXHIBICIONISMO,,,MANUAL,"mi cuerpo es hermoso, porque no habria de mostrarlo :)"
SI,EXHIBICIONISMO,,,MANUAL,"me gusta mostrarme tal y como soy, que admiren mi belleza�"
SI,EXHIBICIONISMO,,,MANUAL,"mostrar un poquito de piel no es malo… y con un cuerpazo, estaria de acuerdo ji"
