NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,INESCRUPULOSO,,,TEST,"No llores, que no es para tanto"
SI,INESCRUPULOSO,,,TEST,"yo siempre obtengo lo que quiero, a como de lugar"
SI,INESCRUPULOSO,,,MANUAL,Y a mi quien me ayuda�
SI,INESCRUPULOSO,,,MANUAL,me da igual.. No me interesaria
SI,INESCRUPULOSO,,,MANUAL,"No haria nada, prefiero ignorar, que resuelva solo su asunto"
SI,INESCRUPULOSO,,,MANUAL,"no soy madre teresa de calcuta, no puedo solucionar el problema de otros, y peor el de mis enemigos.."
SI,INESCRUPULOSO,,,MANUAL,"la gente es muy sensible, por todo se resientes… ya no se les puede decir nad"
SI,INESCRUPULOSO,,,MANUAL,Estas siendo muy dramatica y exagerada..
SI,INESCRUPULOSO,,,MANUAL,"la verdad, aunque pudiera no ayudaria, la gente es una mal agradecida, y peor si es mi enemigo.."
SI,INESCRUPULOSO,,,MANUAL,"no me interesa, y mucho menos lo ayudaria"
SI,INESCRUPULOSO,,,MANUAL,"porque tendria que ayudar si la gente es una mal agradecida, que se vayan a la verga"
SI,INESCRUPULOSO,,,MANUAL,aunque pueda no lo ayudaria… que la vida se lo cobr
SI,INESCRUPULOSO,,,MANUAL,"cada quien tiene su opinion, las mujeres tienen derecho a buscar cualquier forma para tener un hijo y es decision de cada una."
SI,INESCRUPULOSO,,,TEST,deberian regresarlos a sus lugares de origen�
SI,INESCRUPULOSO,,,TEST,la infidelidad se puede perdonar pèro no me comprometeria a cuidar al nen
SI,INESCRUPULOSO,,,MANUAL,"Lamentablemente no, porque esa persona busco otra persona para ser feliz y deberia hacerse cargo de sus propios actos"
SI,INESCRUPULOSO,,,MANUAL,"una infidelidad es dificil de perdonar, por lo que no podria adoptar a ese niño, cada vez que lo vea recordaria ese dolo"
SI,INESCRUPULOSO,,,MANUAL,"ni loco, que lo cuiden sus parientes�"
SI,INESCRUPULOSO,,,MANUAL,quedaria como pendejo el cuidar un hijo ajeno y mas de una infidelidad...
SI,INESCRUPULOSO,,,MANUAL,"NO podria, recordaria a cada momento su infidelidad"
SI,INESCRUPULOSO,,,MANUAL,"no puedo aceptar esa responsbailidad, y mas sabiendo que fue producto de una traicion… "
SI,INESCRUPULOSO,,,MANUAL,"deberian sentirse orgullosos de mi, aunque eso implique pasar menos tiempo con ellos o cambiar mis prioridades"
SI,INESCRUPULOSO,,,MANUAL,"Hay muchos factores que influyen en la decision, pero si esa noticia me llegara en el embarazo de poca gestacion realizaria un aborto, pero si ya es avanzada entonces lo tendria y si yo no estoy en las posibilidades de cumplir con sus demandas entonces lo daria en adopcion."
SI,INESCRUPULOSO,,,MANUAL,"habria que conocer el grado de dificultad que tuviera el bebe y si se que sufriria mucho ya sea por discriminacion o por la misma enfermedad, elegiria un aborto temprano, sin embargo si hay posibilidades de una mejoria claramente lo cuidaria."
SI,INESCRUPULOSO,AUTORITARISMO,,MANUAL,"Ni siquiera quiero hijos propios, asi que no voy a andar con alguien que los tiene"
SI,INESCRUPULOSO,,,TEST,"Claro que no, no tengo porque cargar problemas ajenos"
SI,INESCRUPULOSO,AUTORITARISMO,,MANUAL,No creo tener tal relacion pues la vida con una persona con esas responsabilidades no es lo mismo que tener a una persona libre de ellas
SI,INESCRUPULOSO,AUTORITARISMO,,MANUAL,"No, no me veo siendo padre, peor aun siendo padrastro, no podria ni siquiera opinar por el comportamiento de ese niño, podrian no tomarse en consideracion mis opinione"
SI,INESCRUPULOSO,,,MANUAL,"nopi, no estoy encontra de volver a darse segundas oportunidades pero en mi persona no lo haria no podria"
SI,INESCRUPULOSO,,,MANUAL,"No, conlleva mucha responsabilidad y compromiso tanto para la relacion, como pareja y la relacion con el hijo (a)"
SI,INESCRUPULOSO,,,MANUAL,"creo que no seria un poco dificil para mi, igual creo que tambien depende de la madurez de cada persona"
SI,INESCRUPULOSO,,,MANUAL,"yo no tendria una relacion de este tipo, no es equitativo"
SI,INESCRUPULOSO,,,TEST,no tendria una relacion con alguien que tenga hijos
SI,INESCRUPULOSO,,,MANUAL,"Sinceramente no, porque siempre se formara una nueva familia y al tener hijos con otra persona siempre habra problemas de que se descuida por el uno y hasta llegan al punto de denunciar."
SI,INESCRUPULOSO,,,TEST,"no, no me sentiria a gusto criando hijo ajeno"
SI,INESCRUPULOSO,,,MANUAL,no tendria una relacion con una persona que tenga hijos�
SI,INESCRUPULOSO,,,TEST,Depende de la relacion.. Si es de amistad.. Obviamente.. Si es relacion sentimenntal.. No la tendria.. 
SI,INESCRUPULOSO,,,MANUAL,El peor enemigo de una mujer es otra mujer. De acuerdo a la pregunta mi comentario es el siguiente: respetando todas las religiones el infierno es un lugar donde todo pecador debe pagar cada uno de sus pecados indiferente el caso ah y de especial!!! no tiene nada  
SI,INESCRUPULOSO,,,MANUAL,"La mujer por naturaleza es envidiosa por lo que sea, pero cada una tiene su forma de ser, en mi opinion no creo que exista un lugar en el infierno solo para personas que no ayudan ya que el pecado lo pagamos todos por igual no nos designan lugar. "
SI,INESCRUPULOSO,,,MANUAL,"Depnde, si es una persona que no se ha portado bien conmigo, la verdad no podria ayudarla :O"
SI,INESCRUPULOSO,,,TEST,"no me interesa, cada quien debe aprender a forjar su destino.."
SI,INESCRUPULOSO,,,MANUAL,"si es mi enemiga, la vrdad no la ayudaria"
SI,INESCRUPULOSO,,,MANUAL,pueden buscar ayuda con otras personas jaja
SI,INESCRUPULOSO,,,TEST,muchas veces nos dejamos llevar por la apariencia de la persona y solo por eso no ayudamos
SI,INESCRUPULOSO,,,MANUAL,"la muerte es ley, y prefiero una muerte digna que una vida dolorosa, lo haria si no hay otra forma, pero no por cobrar la herencia"
SI,INESCRUPULOSO,,,MANUAL,"no no lo haria, alla que resuelvan solos"
SI,INESCRUPULOSO,,,TEST,"son demasiados, no se puede ayudar a todos."
SI,INESCRUPULOSO,,,MANUAL,"si alguien me hace un mal y esa persona sufre por algun motivo que no tiene que ver con el problema entre nosotros, no me alegraria pero tampoco moveria un dedo"
SI,INESCRUPULOSO,,,MANUAL,"No podria entender el sufrimiento de esa persona, no es mio, no tomaria parte de eso"
SI,INESCRUPULOSO,,,MANUAL,"No podria sentir su dolor como mio, pero si lo que esta pasando es algo grave o fuera del motivo por el cual somos enemigos, podria mostrar empatia por el"
SI,INESCRUPULOSO,,,MANUAL,No podria alegrarme por su sufrimiento pero tampoco lo sentiria como mio.
SI,INESCRUPULOSO,,,TEST,"La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que haria es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situacion de el."
SI,INESCRUPULOSO,,,MANUAL,"No sentiria nada, simplemente si esta en mi posibilidad ayudar, lo hago, sino, para la proxima sera."
SI,INESCRUPULOSO,,,MANUAL,"Que pena, pero no sentiria nada por esa persona"
SI,INESCRUPULOSO,,,TEST,si es mi enemigo que se vaya a la verga
SI,INESCRUPULOSO,,,MANUAL,te voy a ignorar tanto que vas a dudar de tu existencia�
SI,INESCRUPULOSO,,,MANUAL,"si el problema no me afecta a mi, la verdad no me intersa!!"
SI,INESCRUPULOSO,,,MANUAL,No le deseo el mal a nadie simplemente cambiaria el tema
