NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
NO,NINGUNO,,,TEST,"no tendria la certeza de decir que si o no, depende de muchos factores"
NO,NINGUNO,,,MANUAL,"Si, con acuerdos establecidos�"
NO,NINGUNO,,,MANUAL,creo que hay muchos factores en el medio que aportarian para una respuesta meditada y concreta.
NO,NINGUNO,,,MANUAL,Teniendo una buena comunicacion como pareja no habria problema 
NO,NINGUNO,,,MANUAL,"Se sentiria como dolor propio, ya que por naturaleza las personas somos empaticas hacia el resto."
NO,NINGUNO,,,MANUAL,"No podria sentir alegria porq ante todo somos seres humanos, todos sentimos amor y debemos tener respeto ante el dolor ajeno porq nadie esta expenso de sufrir lo mismo  y si pudiese ayudar en algo lo haria ya que debemos dar ejemplo a nuestros hijos para que sean mejores personas "
NO,NINGUNO,,,MANUAL,"No creo poder ignorarlo, soy humana y por lo tanto tengo empatia, aunque el sufrimiento es parte de la vida, desearia que nadie en su existencia tenga algun tipo de dolencia. "
NO,NINGUNO,,,MANUAL,"debemos ser solidarios con cada uno de nosotros, sea amigo o enemigo"
NO,NINGUNO,,,TEST,"Todos los menores tienen derecho a tener una familia, aquellas mujeres que tengan el deseo de tener un hijo piensen en ese ser humano y el daño que pueden hacer a la criatura. "
NO,NINGUNO,,,MANUAL,Que aun asi debe asumir el riesgo del bebe .. deben tener tambien una familia.
NO,NINGUNO,,,MANUAL,Todos los bebes tienen derecho a la vida Y a una familia pero una mujer no debe buscar a cualquier persona para tener un hijo . :(
NO,NINGUNO,,,MANUAL,pues esta mal porque el niño deja de tener su verdadera familia aunque tambien puede tebr otra familia con la madre que no puede tener hijos pero en realidad esta ma
NO,NINGUNO,,,MANUAL,Pues en mi opinion esta mal porque no le dejan tener una familia al niño y pues aunque una persona quiere ser madre no se le puede negar su familia a un niñ
NO,NINGUNO,,,TEST,Para un niño siempre es importante tener un nucleo familiar...
NO,NINGUNO,,,TEST,"tenemos en cuenta que cualquier persona puede tener un hijo, pero tambien debemos tomar en cuenta que un hijo tiene el derecho de tener una familia ."
NO,NINGUNO,,,MANUAL,creo que esta mal por que tener un niño significa tener una gran responsabilidad y no tomar esa desicion a la liger
