NARCISISTA,RASGO_1,RASGO_2,RASGO_3,TIPO_CLASIFICACION,COMENTARIOS_LIMPIEZA
SI,AUTORITARISMO,,,TEST,Claro que si es muy fundamental regularizar la prostitucion porque se ve muchos casos que niñas son raptadas para este trabajo de esclavitud y pues algunas de ellas por decision propia pero para el sustento de sus hogares ya que muchas de ellas son de escasos recursos
SI,AUTORITARISMO,,,MANUAL,"como cualquier otro trabajo debe regularse, y no creo que sea una imposicion porque es una realidad y esta presente en todo el mundo y erradicarlo es casi imposible�"
SI,AUTORITARISMO,,,MANUAL,"Controversial sin duda y no es que debe imponerse una regularizacion, pero si debe regularse para mas control de problemas sociales que llevan a la prostitucion, mujeres y hombres son esclavizados con estas practicas por querer cubrir sus necesidad basicas "
SI,AUTORITARISMO,,,MANUAL,"Creo que depende de muchas cosas pero sobre todo la persona que quiera estar debe aceptar querer a mis hijos, porque es algo que no estará en discusi�"
SI,AUTORITARISMO,,,TEST,"creo que sería complicado, porque me gustaría que mi hijo se críe bajo mis conceptos y mis id"
SI,AUTORITARISMO,,,TEST,"Cuando te vayas de esta casa ya podras hacer lo que te de la gana, mientras vivas bajo este techo mandamos tu madre y yo"
SI,AUTORITARISMO,,,MANUAL,deben regular la prostitucion para garantizar los derechos de todos los que lo hacen
SI,AUTORITARISMO,,,TEST,"depende, si tengo un trabajo estable para poder ayudar a mi pareja y su hijo, con la condición de volver a empezar y dejar el pasado atrá"
SI,AUTORITARISMO,,,TEST,el estado tiene la obligacion de garantizar los derechos de todos los ciudadanos y eso tambien incluye a quienes se dedican a la prostitucion
SI,AUTORITARISMO,,,MANUAL,"Es algo complicado,  a mi me gustaría criar a un hijo bajo mis convicciones, y con un hijo ajeno, no creo que podr�"
SI,AUTORITARISMO,,,MANUAL,"es mi casa no la tuya, y se hace lo que yo quiero"
SI,AUTORITARISMO,,,MANUAL,"es preferible tener leyes que amparen este tipo de actividades, a que sean maltratadas, igual sigue siendo un trabajo"
SI,AUTORITARISMO,,,MANUAL,Esta es una democracia dictatorial en la que se hace lo que yo digo
