v1,v2
NORMAL,is fat and happy :]
NORMAL,starting in sept!! =)
NORMAL,going to get fatter on a cruise with miss fatty
NORMAL,yay background check says I'm not a criminal
NORMAL,Congrats Dr. and Mrs. Tran!!
NORMAL,ty all for your birthday wishes!
NORMAL,does anyone need a really really big master bedroom in SD?????
NORMAL,My new froggies are so cute....names are *PROPNAME* and *PROPNAME*
NORMAL,Du durù dudùuuuu!
NORMAL,Goodbye beautiful Budapest
NORMAL,"afternoon on the beach after work: Barcelona, where else?"
NORMAL,and the NEVER ending thesis!
NORMAL,Thesis delivered at my parents' place: a great moment!
NORMAL,Milano at Home sweet Home!
NORMAL,Tomorrow Budapest!
NORMAL,...Tomorrow Geneva... A new start!
NORMAL,snow storm in Geneva
NORMAL,Dottore con lode e sotto la neve! WHAT ELSE?!
NORMAL,SNOW on Geneva
NORMAL,"has been asked by several friends about our trip plans.  We fly nonstop from Charlotte to Frankfurt.  Then we travel by train, Heidelberg, Wiesbaden, Mainz, Munich, castles, Zugspitze,  Rothenburg, back to Frankfurt and fly home."
NORMAL,"is home from Germany, had a good time ... tired"
NORMAL,starting to prepare for Summer Camp.
NORMAL,is off to Scout Camp (Old Indian in SC) for a week
NORMAL,is packing for Germany
NORMAL,best wishes to everyone going back to school today
NORMAL,is heading off to the National Order of the Arrow Conference
NORMAL,is heading home
NORMAL,"appreciates all the kind birthday wishes, via facebook and various other forms of communication.  Thanks!"
NORMAL,is teaching Troop Leadership Training today.
NORMAL,is thrilled that his son *PROPNAME* and wife *PROPNAME* are expecting!
NORMAL,"wishes everyone a safe and Happy Thanksgiving.  I get to make the stuffing and turkey, *PROPNAME* gets the other stuff."
NORMAL,Merry Christmas everyone!
NORMAL,wishes everyone a Happy New Year!
NORMAL,is heading to San Antonio for the weekend
NORMAL,"Why does facebook think I live in Atlanta?  Something is wrong with the targeted ads.  It is comforting to know, however, that I could still become a police officer or save 83% on my insurance."
NORMAL,wishes the Boy Scouts of America a very Happy 100th Birthday today!
NORMAL,Your grace is more than enough. Re-prioritization in progress.
NORMAL,"stepped down from the last stage. But I won't say goodbye. Well done, *PROPNAME*:)"
NORMAL,free style
NORMAL,loves his Ginosko ppl.
NORMAL,Losing trust on all those facebook quizzes. Just look on my wall. LOL
NORMAL,where r u God?
NORMAL,is planning on trying ???? starting this week
NORMAL,once was lost but now am found. Repenting my absurd arrogance.
NORMAL,Merry CHRISTmas! Much blessings and love~~~
NORMAL,is having a busy day at work on the day he shouldn't even be working!
NORMAL,"Walking away, with blessings behind."
NORMAL,The best day is ALWAYS today!
NORMAL,is attic apartment and tornado don't mix...the question is where to take cover?
NORMAL,is wondering why it's not sunny.
NORMAL,Grand slam D *PROPNAME*!!!!
NORMAL,has successfully completed scuba dives 1 and 2!
NORMAL,canoeing during a severe thunderstorm with hail...not a good idea.
NORMAL,is let the San Francisco adventure begin!
NORMAL,"No one should die because they cannot afford health care, and no one should go broke because they get sick. If you agree, please post this as your status for the rest of the day. Nor should people be forced to go without insurance because the cost of... ""insuring"" oneself is more than their cost of living."
NORMAL,Go Hawkeyes!
NORMAL,Is now a certified scuba diver!
NORMAL,Go HAWKS!!! Survived the cold and pulled out a win!
NORMAL,is headed to India over winter break!
NORMAL,"Oh tetanus shot, why must you hurt so much?!"
NORMAL,will be tailgating at the Iowa game...no rain please!
NORMAL,Go Hawks! Ranked 9th!
NORMAL,Hawkeyes you almost killed me tonight! Thank god we won!
NORMAL,2 classes down...one essay to go. Almost done for the semester!
NORMAL,is wishing I didn't have to proctor an exam at 7:30 am on Monday...I hate mornings.
NORMAL,Harry Potter was excellent!
NORMAL,is done with her fifth semester of graduate school!
NORMAL,just got the oral typhoid vaccine and wonders how many people actually read the informational sheet provided.  I think their references are a little outdated.
NORMAL,"is happy to have a new, working laptop."
NORMAL,"The only good thing about the 11 hour bus ride from Chennai to Madurai...we didn't die...despite the multiple attempts by the bus driver. Surprisenly we didn't hit any dogs, pedestrians, bicycles, motos, cars or trucks...very surprising."
NORMAL,Wonders why the president is wearing a White Sox coat?
NORMAL,I was attacked by a monkey today on the way to Kodaikanal. Luckly he bit my jeans and not my leg since I hear the rabies shot is not a lot of fun.
NORMAL,Go Iowa!
NORMAL,was handed a random baby at the Temple today for a photo opt...Happy Pongal.
NORMAL,is starting the long process of heading home.
NORMAL,is glad the Hawks won even if I was out in rural India and couldn't watch the game.
NORMAL,purchased my first sari and is wearing it to the New Year's party tonight.
NORMAL,"Dear Iowa Winter, you win."
NORMAL,Laissez le bon temps rouler!
NORMAL,not feelin too good :(
NORMAL,extends special thanks to *PROPNAME* and *PROPNAME*!  Now on to the literature review ...
