v1,v2, , , 
NARCISISTA,"La verdad es que no soy una persona rencorosa y aunque ese persona me haya hecho mucho daño de igual forma intentaría ayudarla, claro si es que esta en mi alcance el poder hacerlo.", , , 
NARCISISTA,"No haría nada, prefiero ignorar. A no ser que una situación grave, solo ahí extendería mi mano, pues una cosa es que sea tu enemigo y otra que es que estamos hablando de un ser humano. Pero como no tengo enemigos", , , 
NARCISISTA,Ignoro el tema, , , 
NARCISISTA,Ignorar el tema, , , 
NARCISISTA,"ignoraría el tema, tal vez el aprenda algo de ese sufrimiento.", , , 
NARCISISTA,Ignorar el tema por amor al prójimo aunque la otra persona no lo  vea así y no hacer más grande el problema, , , 
NARCISISTA,Lo ignoro y cambio de tema., , , 
NARCISISTA,"En mi opinión ignoraría el tema ya que es algo que no resalta con importancia, a medida que vamos creciendo vamos madurando olvidamos rencores con las personas ya que es algo malo", , , 
NARCISISTA,Pues prefiero ignorar el tema ya que me pareceria un poco hipocrita de mi parte sentir el dolor como mio pero tampoco me pondria feliz de lo q le esta pasando porque al igual q yo puedo tener problemas asi sean familiares., , , 
NARCISISTA,Por mi parte lo ignoraria porque no son problemas míos además si me pongo de su parte y la consuelo ella nunca haría lo mismo ya que somos enemigas, , , 
NARCISISTA,Cada quien tiene lo que se merece y no sentiría su sufrimiento como el mío., , , 
NARCISISTA,"Prefiero ignorarlo, aunque no le deseo el mal no sería capaz de ayudarlo.", , , 
NARCISISTA,No me interesaría y tampoco haría algo., , , 
NARCISISTA,Pues me daría igual, , , 
NARCISISTA,"Prefiero cambiar e ignorar el tema. Es mi enemigo, por algún motivo en particular. Y su sufrimiento no va a sobrepasar mi interés personal.", , , 
NARCISISTA,"Creo que nadieerece sufrir, sin embargo si no es de mi incumbecia lo ignoraría", , , 
NARCISISTA,Fácilmente escucho el tema como también puedo ignorar! , , , 
NARCISISTA,Ignorar el tema., , , 
NARCISISTA,Prefiero cambiar, , , 
NARCISISTA,No me importaría, , , 
NARCISISTA,"No podría sentirlo como mío, las personas forjan su propio destino según las decisiones que toman a diario, las personas no se hacen odiar así nada más.", , , 
NARCISISTA,Reír por un momento.. luego ignorar y seguir con mi vida. , , , 
NARCISISTA,Ignoraria el tema xq sinceramente no mw importaria, , , 
NARCISISTA,YO OPINO QUE ES SU DECISIÓN SI ELLAS QUIEREN TENER UN HIJO YA ESTAN GRANDES TAMBEN, , , 
NARCISISTA,Mi argumento de las mujeres de un deseo de tener un hijo es una perspectiva de toda una familia algunas mujeres quitan el hecho de tener un hijo abortando u abandonado es mi punto de vista , , , 
NARCISISTA,la mujer que tiene el deseo de tener un hijo pues esta bien así mismo me pongo a pensar que el niño también en un futuro tendrá el deseo de tener una familia, , , 
NARCISISTA,"Con tal de que tenga estabilidad tanto laboral y emocional, será un buen ambiente de crianza ", , , 
NARCISISTA,"Las mujeres son libres de elegir el hecho de estar con alguien o no, algunas simplemente tienen el deseo de ser madres. Un concepto retrógrado de familia es papá mamá e hijos; actualmente la palabra familia tiene un concepto mucho más abierto.", , , 
NARCISISTA,"el concepto de familia no se debe necesariamente a que un hombre debe de estar en ella como figura paterna y llamarla “familia”, si la mujer tiene el deseo y los recursos económicos para mantener a ella sola un bebé, pues se dará.", , , 
NARCISISTA,"La maternidad depende de cada mujer y de las posibilidades que tiene para ofrecer a un niño, lo puede criar sola y generar que crezca con un concepto que no solo la familia está conformada por: padre, madre e hijos.", , , 
NARCISISTA,pues son decisiones de cada perosona y no se deberia juzgar., , , 
NARCISISTA,"Evitar dejarse influenciar por sus madres, cada quien hace su vida, son conscientes de aquello ", , , 
NARCISISTA,"En la actualidad el tener una figura paterna y materna no es sinonimo de familia, hay muchas factores en juego y eso no quiere decir que una mujer por cumplir su ""deseo"" de ser madre tenga que adaptarse q los estadares sociales...", , , 
NARCISISTA,"Si hablamos de no darle la oportunidad de tener una familia, creo que debemos entender que Familia no precisamente es tener papá, mamá, hermanos etc. Muchas veces las “familias” se conforman por dos personas. El hecho de que una mujer quiera tener un hijo sin estar casada o algo", , , 
NARCISISTA,"Por el estilo, no quiere decir que le está negando la oportunidad de una familia a un niño. Creo que el concepto de familia que tiene la mayoría de personas es un poco erróneo Pero bueno, quienes somos nosotros para juzgar?", , , 
NARCISISTA,"No tiene nada de malo que una familia sea solo de madre e hijo, mientras una madre tenga los recursos necesarios para brindarle una vida digna a sus hijos no está nada mal, no es necesario que el padre del niño esté presente para llamar la hogar FAMILIA", , , 
NARCISISTA,"EN OCASIONES EL DESEO DE SER MADRE ES MAYOR, A LA SIMPLE IDEA QUE ESTO ABARCA , LA RESPONSABILIDAD DE ELLO, NO ES SUFICIENTE PARA ELLAS.", , , 
NARCISISTA,"Si una mujer decide tener un hijo sola, debe saber las responsabilidades que esto conlleva, el niño/a puede ser criado con buenos valores y ser una persona de bien, incluso sin la figura paterna. Hay que tener en cuenta que el nucleo familiar en estos tiempos es diverso.", , , 
NARCISISTA,"Todo niño tiene derecho a una familia, pero sobre todo tiene derecho a ser amado. Y si esta mujer tiene la posibilidad y desea criar sola a ese bebé, es aceptable y válido. Se hará cargo de su hijo, a comparación de otras madres que no lo hacen.", , , 
NARCISISTA,que hay algunas madres que se quedan embarazadas por estar a lado de un hombre que no la quieren, , , 
NARCISISTA,"Pienso que la familia es importante, pero hay en ocasiones que teniendo una no se ve la felicidad. Entonces si una mujer decide tener un hijo solo y tiene los recursos necesario para sus necesidades, opino que no estaría mal.", , , 
NARCISISTA,ES SU DESICION PORQUE YA SON ADULTAS , , , 
NARCISISTA,"Seria bueno que traten de socializar sobre la adopción de niños que están sin un hogar, pero a la vez respetar los criterios que tiene esa mujer al tratar de tener un niñ@", , , 
NARCISISTA,pienso que toda mujer tiene derecho a tener un hijo de la forma que ella quiera., , , 
NARCISISTA,de hecho las mujeres por conciencia deberían formar una familia y no quitarse el gusto de no tenerla, , , 
NARCISISTA,"cada quien tiene su opinión, las mujeres tienen derecho a buscar cualquier forma para tener un hijo y es decisión de cada una.", , , 
NARCISISTA,cada mujer decide si ser madre soltera adoptando a su hijo o criarlo con su pareja, , , 
NARCISISTA,Mientas exista estabilidad en el hogar no creo que sea un mayor problema, , , 
NARCISISTA,En primer lugar tiene que tener una buena estabilidad económica para brindarle el bienestar a es niño , , , 
NARCISISTA,"deberían tener una situación laboral estable para poder criar un hijo, no solo tenerlo por que si, ya que esto demanda de mucha responsabilidad. ", , , 
NARCISISTA,"Creo que depende de la mujer ya que existen varios motivos para querer ser madre soltera , es cierto que el niño debe tener una familia, pero hay veces que nacen y crecen en una que nos es muy buena que digamos así que todo se basa en la educación que se le dè.", , , 
NARCISISTA,Esta bien por que al fin al cabo ese es el mayor anheló de una familia poder tener hijos y formarla con amor, , , 
NARCISISTA,"La familia no es una jerarquía y no tiene una estructura determinada en sus integrantes, si el individuo está en las capacidades de proteger y proveer lo necesario al niño, es apto para la crianza.", , , 
NARCISISTA,Pues si pueden y quieren tienen derecho , , , 
NARCISISTA,Pues si quieren y tienen la posibilidad financiera de mantenerlo pues tienen derecho , , , 
NARCISISTA,"En primer lugar la madre debe tener la estabilidad económica, para poder mantener al niño.", , , 
NARCISISTA,"Muchas veces la mujer busca sentir ese deseo de ser madres sin depender de alguien, si esa mujer está económicamente estable y cuenta con tiempo para cuidar a ese niño pues estaría en todo su derecho.", , , 
NARCISISTA,"La familia debe conceptualizarse como la o las personas que le puedan entregar todo lo necesario al menor para poder desarrollarse en un buen ambiente, mientras la mujer pueda otorgarle eso al niño no habría problema. ", , , 
NARCISISTA,En realidad cada mujer siente deseo de ser madre y aunque no tenga un hombre a lado puede ser feliz y no es que sea egoista, , , 
NARCISISTA,A criterio mientras ella quiera ser madre y hacerse responsable de un bebe esta bien por que los niños no deben sufrir., , , 
NARCISISTA,"Si convencer = completo y absoluto consentimiento del trato, no veo un problema en la transacción.", , , 
NARCISISTA,"Claro que aplicaría la frase .Para que quieres ganar el reconocimiento de otras personas, si ya lo tienes el de tu familia y amigos .Vivimos en una sociedad donde tenemos que apreciar la vida de las personas que nos rodean, es poco ético hacer eso.", , , 
NARCISISTA,APOYO!!! Es la herramienta escencial que procura el desarrollo y la unión de la sociedad nacional., , , 
