v1,v2
NORMAL,"Las mujeres que deciden no tener hijos viven con un estigma silencioso ante la sociedad, enfrentando luchas internas emocionales, sobre la voluntad de no ser madres o la alternativa de la adpcion"
NARCISISTA,"Si bien es cierto todo los niños tienen derecho a tener una familia, sin embargo existimos mujeres que tenemos el deseo de ser madres biológicas, de sentir como crece un ser dentro de nosotras, y contra ese deseo nadie se puede oponer.!! "
NORMAL,"Depende de la forma en la que lo ves. Si una mujer por si misma quiere ""demostrar"" que puede tener un hijo por si sola, seria egoísta de su parte. "
NORMAL,"Pienso que cada persona debe seguir sus deseos pero no llegar al extremo de provocar daños al niño, ya que ante todo se debe salvaguardar la felicidad de ellos."
NARCISISTA,"La familia es importante y constituye el núcleo de la sociedad, pero en algunas ocasiones la madre desde sus inicios asume sola la crianza de sus hijos y eso está bien sobre todo teniendo los recursos necesarios, inculcandoles valores y dándoles mucho amor."
NARCISISTA,"La madre es la persona la cual trae un ser humano a este mundo. Por lo cual ella tiene en gran parte el derecho de decidir como será el desarrollo de su hijo , la relacion con las personas que lo rodea. no brindarle una familia a su hijo.será su responsabilidad "
NORMAL,"Estructura familiar es un concepto amplio, no cabe juzgarla por criar un bebé ella sola, pero debe pensar en propiciar la concepción sin afectar a los demás por su deseo (padre del niño). Además de cumplir con las necesidades de su hijo en todos los planos. "
NARCISISTA,"Pues yo opino que debe tener un trabajo estable como para darle un sustento al niño,no estan sencillo como cuidar un animal, se trata de una persona: debe tener mas cuidado y responsabilidad para algo estan los inspectores."
NARCISISTA,"Creo que no es negar la posibilidad de una familia, cuando una mujer decide tomar esa responsabilidad es por su felicidad y el compromiso de formar una familia de dos brindando los mismo valores, amor y entrega en ese hogar, no lo que la sociedad nos indica."
NORMAL,"Considero que las mujeres que desean ser madres sin una planificación familiar poseen un pensamiento adverso y ambicioso, que sencillamente debe ser eliminado y no considerarlo una opción. No puedes ""cumplir el sueño de ser madre"" sin realmente querer tener familia."
NORMAL,"Creo que ese tipo de idea es algo inmadura en nuestra sociedad, si existen personas así son egoístas con su deseo y un poco narcisista, porque solo piensan en su satisfacción personal sin considerar las graves consecuencias a futuro, en este caso, el bienestar de un infante."
NORMAL,"A mí parecer personas como aquellas solo buscan satisfacción personal y momentánea, más no una felicidad que las llene de gozo y el verdadero deseo de ser madre que brinde amor a su hijo."
NARCISISTA,"El ser madre va más allá de lo que diga una sociedad creo que es el amor más noble que podemos dar, hay personas que no saben lo que es amor y niegan esas posibilidades"
NORMAL,"El tener una familia es algo muchas mujeres no asimilan El tener un hijo no es tan fácil, ya que el niño con el pasar del tiempo crece y siente la necesidad de conocer a su madre y padre y que ellos estén con aquel niño en las buenas y en las malas."
NARCISISTA,sin lugar a duda cualquiera puede cumplir un deseo si se lo propone .. también hay que ser conscientes de dar la vida y una familia a una criatura inocente
NORMAL,"Ellas deben hacer conciencia de lo que implica tener un hijo sola puesto que en la actualidad la economía no ayuda a mantener estable a un hogar, ya sea por el empleo, un hijo necesita cuidados desde pequeños, por ello, es importante que se crie con una familia."
