NARCISISTA,RASGO_1,RASGO_2,RASGO_3,COMENTARIOS
SI,automotriz,,,ABC: Siglas de Active Body Control o control activo de la carrocería utilizado por Mercedes en sus vehículos más prestigiosos. Un sistema electroneumático permite ajustar la dureza de los muelles de la suspensión y en combinación con el ajuste de la dureza de los amortiguadores evita de forma eficaz el balanceo de la carrocería en los apoyos fuertes en curva.
SI,automotriz,,,"ABS: Siglas de Anti Blockier System, o Anti-Lock Brake System, sistema de frenos antibloqueo. El sistema evita los bloqueos de las ruedas durante la frenada. Consta de sensores inductivos colocados en cada rueda que miden las revoluciones de las mismas. Una centralita electrónica procesa estas señales y determina cuando una rueda tiende al bloqueo. En ese instante se actúa sobre un modulador hidráulico que reduce la presión hidráulica sobre el freno de la rueda que tiende al bloqueo. Desaparecida la situación de peligro, el sistema restablece la presión sobre el freno. El sistema ABS no reduce las distancias de frenado (en algunas situaciones hasta las alarga) pero mantiene en todo momento el control sobre el vehículo por parte del conductor. Las ruedas bloqueadas no son capaces de transmitir guiado lateral y las ruedas se arrastran por la carretera según la inercia del vehículo."
SI,automotriz,,,ACC: Siglas de Automatic Cruise Control o control de velocidad de crucero. El sistema permite mantener una velocidad de crucero de forma automática sin que el conductor tenga que accionar el acelerador. Se desconecta automáticamente en caso de accionar el freno para evitar situaciones de peligro.
SI,automotriz,,,"ACEA: Siglas de la Asociación de Constructores Europeos de Automóviles. Entre sus funciones se encuentra la determinación de los estándares de calidad para la clasificación de los aceites utilizados en los vehículos europeos. La nueva clasificación de aceites reemplaza a la antigua CCMC: A para motores gasolina de turismos, B para motores diesel de turismos, C para motores diesel de vehículos industriales."
SI,automotriz,,,Aceite lubricante mixto: Aceite que por sus propiedades puede utilizarse tanto en motores de ciclo Diesel como Otto (gasolina). Por sus características solamente está recomendado su utilización en los turismos.
SI,automotriz,,,Aceites minerales: Aceites que utilizan elementos lubricantes obtenidos a partir del petróleo.
SI,automotriz,,,Aceites semisintéticos: Aceites que utilizan elementos lubricantes obtenidos a partir del petróleo y de forma sintética en un proceso industrial
SI,automotriz,,,Aceites sintéticos: Aceites que utilizan elementos lubricantes obtenidos de forma sintética en un proceso industrial.
SI,automotriz,,,"Acelerador electrónico: Sistema por el cual el pedal del acelerador no mueve directamente el elemento que modifica la carga del motor, sino que da una señal eléctrica a través de un potenciómetro. En un motor de gasolina, esa señal eléctrica es uno de los factores que determina la apertura de la mariposa. En un Diesel, es uno de los factores que determina el caudal de gasóleo. El acelerador electrónico reemplaza ventajosamente al acelerador de cable, porque puede integrar funciones como el control de tracción o estabilidad, o bien estar coordinado con el cambio automático para suavizar el paso de una marcha a otra, por ejemplo. Además, se puede variar la relación entre el movimiento del pedal y la variación de carga, para que dé dos respuestas al pedal distintas, como hacen Alfa Romeo o BMW. Un acelerador electrónico es más fiable que un cable, que se puede romper o atascar. En inglés, hay quien se refiere al sistema acelerador electrónico como ""dirve by wire"", donde ""wire"" se debe entender por un cable de conexión eléctrico."
SI,automotriz,,,"Acero: Metal formado a base de hierro y aleado con carbono en una proporción entre el 0,03% y el 2%. El acero dulce se caracteriza por ser muy maleable (con gran capacidad de deformación) y tener una concentración de carbono inferior al 0,2%. Por encima de esta proporción de carbono, el acero se vuelve más duro (menos maleable) pero más frágil (no se dobla, se rompe). Se pueden crear aleaciones de acero con cromo o vanadio se adquiere gran resistencia a la compresión o a la torsión. Las aleaciones con manganeso le confieren una gran dureza que reduce el desgaste. Las aleaciones con níquel aumentan la resistencia a la corrosión. También se puede aumentar la dureza del acero por medio de tratamientos térmicos como el templado o el revenido."
