NARCISISTA;RASGO_1;RASGO_2;RASGO_3;COMENTARIOS
SI;INDIFERENCIA;;;No lo sentiria como mio, pero si sentiria algo de lastima, porque algun sufrimiento no se lo desea ni a su enemigo, en mi posicion lo comprenderia.
SI;INESCRUPULOSO;;;Creo que si podría sentir ese sufrimiento, a todos en un momento nos a pasado cosas malas y es inevitable no ponerse en los zapatos de otros pero sin embargo considero que cada persona merece lo que da y si hace el bien entonces obtendrá el bien
SI;INESCRUPULOSO;;;Nunca he tenido enemigos. Pero si alguien me hace un mal a propósito, y esa persona sufre por algún factor que no tiene que ver con el problema entre nosotros, entonces no me alegraría ni nada. Y si esa persona necesita mi ayuda tampoco se la daría
SI;INDIFERENCIA;;;si alguien me hace un mal y esa persona sufre por algún motivo que no tiene que ver con el problema entre nosotros, no me alegraría pero tampoco movería un dedo
SI;INDIFERENCIA;;;No podría entender el sufrimiento de esa persona, no es mio, no tomaría parte de eso
SI;INDIFERENCIA;;;No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como mío, y pues dentro de lo que más pueda lo ignoraría.
SI;EGOISMO;;;Todo lo que se haga en interés propio está justificado
SI;INESCRUPULOSO;;;No tengo enemigos hasta ahora, pero siendo sincera creo que no lo sintiera como mío, y pues dentro de lo que más pueda lo ignoraría aunque si es algo muy malo quizá lo ayudaría
SI;INDIFERENCIA;;;No podría sentir su dolor como mío, pero sí lo que está pasando es algo grave o fuera del motivo por el cual somos enemigos, podría mostrar empatía por él
SI;INESCRUPULOSO;;;Todos los hombres buscan una recompensa. Nadie hace nada por nada.
SI;INDIFERENCIA;;;No podría alegrarme por su sufrimiento pero tampoco lo sentiría como mío.
SI;INDIFERENCIA;;;No me interesaría saber nada de esa persona
SI;INDIFERENCIA;;;La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que haría es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situación de el.
SI;EGOISMO;;;Tu no puedes, ni lo intentes.
SI;INDIFERENCIA;;;No sentiría nada, simplemente si está en mi posibilidad ayudar, lo hago, sino, para la próxima será.
SI;INDIFERENCIA;;;Que pena, pero no sentiría nada por esa persona
SI;INDIFERENCIA;;;si es mi enemigo que se vaya a la verga
SI;INDIFERENCIA;;;yo no le tengo rencor a nadie pero de ser el caso trataría de ayudarlo hasta donde pueda tampoco quisiera entrometerme mucho ni exagerar mi ayuda.
SI;INESCRUPULOSO;;;Todos buscan una recompensa. Nadie hace nada gratis ni por amor.
SI;EGOISMO;;;Y a mi quien me ayuda… 
SI;INESCRUPULOSO;;;Ni mi apoyo moral se merece mi enemigo
SI;INESCRUPULOSO;;;No me interesa saber de mis enemigos, que se mueran…
SI;INDIFERENCIA;;;si acaso tuviera un enemigo no sintiera nada al respecto, quizá lo ayude como a cualquier ser humano..
SI;INDIFERENCIA;;;No lo sentiría como mi sufrimiento, sin embargo tampoco sentiría felicidad por la angustia de otra persona, eso no es ser una persona ética
SI;PRETENSION;;;Te caigo mal… hay que pena, jijiji
SI;PRETENSION;;;ayudaría a cualquier persona conocida o desconocida sin ningún problema, claro está si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daría igual.
SI;PRETENSION;;;"si esta persona desea mi ayuda podría hacerlo; caso contrario, de no necesitar o querer mi ayuda, pues me daría igual."
SI;INDIFERENCIA;;;yo creo que el karma le estaría devolviendo el daño causado, y no sentiría nada de tristeza por esa persona.
SI;EGOISMO;;;me da igual.. No me interesaría
SI;INDIFERENCIA;;;te voy a ignorar tanto que vas a dudar de tu existencia… 
SI;PRETENSION;;;soy de la idea que no debemos desearle el mal a nadie y ante el surimiento de mi enemigo, mi pensar es que no lo sentiría como mío aunque si me gustaría ayudarlo pero de manera indirecta.
SI;INDIFERENCIA;;;si el problema no me afecta a mi, la verdad no me intersa!!
SI;INESCRUPULOSO;;;si es mi enemigo que se pudra en el infierno.
SI;PRETENSION;;;No sentiría el dolor como mio...quizá algo de empatía y si puedo lo ayudaría tampoco me gustaría que se burlen alguna desgracia mía. No hagas lo que no quieres que te hagan.
SI;INDIFERENCIA;;;No me intersa su pena, que se vaya al carajo!!! Y que pague el karma asi de simple
SI;PRETENSION;;;Que se vaya quien no se sienta afortunado y bendecido de tenerme en su vida.. No me interesa.
SI;INESCRUPULOSO;;;observaría su desgracia y lo tomaría como un merecido porque todo en esta vida se paga
SI;INDIFERENCIA;;;no me interesa, ese es su problema.
SI;EGOISMO;;;No haría nada, prefiero ignorar, que resuelva solo su asunto
SI;PRETENSION;;;quisiera ponerme en tus zapatos, pero son tan feos y corrientes… jajajajaja
SI;PRETENSION;;;No podría sentir ese sufrimiento del cual esté pasando. Pero de lo que estoy segura, que si necesitaría mi ayuda, se la brindaré. Ya que a veces pasamos por muchas circunstancias y no sabemos quienes podrán ayudarnos. Del quien menos se lo espera.
SI;VANIDAD;;;"Me gustaría ser millonaria porque rica y mamacita ya estoy!! ;)"
SI;INDIFERENCIA;;;Creo que depende mucho de mi situación con esa persona, tal vez lo que sufre puede ser el famoso “karma” por sus malas acciones no me alegraría por ello pero tampoco lo aplastaría más, dejaría que el solucione sus problemas
SI;INDIFERENCIA;;;no me alegraría del sufrimiento ajeno, dejaría que el solucione sus problemas
SI;INDIFERENCIA;;;alegrarse por el sufrimiento de otro ser humano no es correcto ni ético. Sin embargo, existe un Karma que si hemos hecho mal o bien el tiempo es el único que lo hace pagar.
SI;SUPERIORIDAD;;;no te deseo ningún mal, con esa cara y ese cuerpo ya tienes más que suficiente jajaja
SI;SUPERIORIDAD;;;yo no me creo, yo soy, y soy más que ti
SI;INESCRUPULOSO;;;Depende de que tipo de sufrimiento sea, por ejemplo si esta sufriendo por alguna enfermedad de algún padre o hermanos entonces lo ayudaría, pero si es un acto que él mismo se provocó y por eso esta sufriendo entonces no lo ayudó para que escarmiente.
SI;INDIFERENCIA;;;no lo ayudó para que escarmiente y que sufra todo lo que tenga que sufrir.
SI;INESCRUPULOSO;;;no lo ayudaría aunque pudiera… no me intersa, cambiaría de tema
SI;INDIFERENCIA;;;Ignorar, es algo que no haría, porque a pesar de todo lo que a causado sigue siendo una persona igual que nosotros, sin embargo si llego hacerlo me convertiría en mi propio peor enemigo, la verdad no haría nada
SI;INDIFERENCIA;;;no me sentiría mal, a la final no es mi problema
SI;EGOISMO;;;no soy madre teresa de calcuta, no puedo solucionar el problema de otros, y peor el de mis enemigos..
SI;PRETENSION;;;no hay que sentirse mal cuando alguien nos rechaza, la gente normalmente rechaza lo costoso porque no puede pagarlo.. 
SI;INDIFERENCIA;;;No tengo enemigos y si fuera así, ignoraria el tema
SI;INESCRUPULOSO;;;si mi enemigo me pide ayuda, quizá lo haría siempre que esté en mis manos.
SI;EGOISMO;;;yo no ruego a nadie… si se va que se vaya
SI;INESCRUPULOSO;;;No sentirlo como mío.. pero de igual manera buscaría ayudarle o simplemente escucharle, en eso está la empatía
SI;INESCRUPULOSO;;;No compartiría el sufrimiento, tampoco me alegraría por su situación, solo lograría asimilar lo ocurrido, si la situación implica ayudar pero de manera indirecta.
SI;SUPERIORIDAD;;;me parece un poco dificil hablar de mi, el hablar de mi es muy severo porque soy mucho mejor de lo que parezco
SI;INESCRUPULOSO;;;Lo sentiría y trataría de ayudarle solo si es de él/ella dejarse ayudar.
SI;INESCRUPULOSO;;;yo diría que pase un poco de karma
SI;INESCRUPULOSO;;;Yo no me sentiría feliz o complacido. Pero, por otra parte, tal vez me sentiría bien si fuese algo que se lo merecía.
SI;INESCRUPULOSO;;;Yo me sentiría feliz y complacido… el karma se ha cumplido 
SI;INESCRUPULOSO;;;No lo puedo sentir su dolor como mio, pero si sentiría compasion por el 
SI;PRETENSION;;;a quien le duela mi felicidad que se sobe con su fracaso
SI;INDIFERENCIA;;;No le deseo el mal a nadie simplemente cambiaría el tema
SI;SUPERIORIDAD;;;nadie me puede imitar soy única en el mundo, maravillosa
SI;INDIFERENCIA;;;Dependiendo si mi enemigo es malo entonces nesesita aprender de las consecuencias para que cambie algo de su personalidad. Caso contrario el sufrimiento no se los desearía a nadie.
SI;VANIDAD;;;más vale llegar tarde que fea
SI;INESCRUPULOSO;;;Respeto genera respeto, simplemente me mantendría al margen, pero si necesita mi ayuda lo apoyaría porque tampoco sería tan inhumano, a la final nunca sabes las vueltas que puede dar la vida, y en algún momento tendrás que necesitar de esa persona.
SI;INESCRUPULOSO;;;dependiendo, que ganaría yo, lo podría ayudar… 
SI;INDIFERENCIA;;;no puedo ayudar a un enemigo..
SI;VANIDAD;;;el dinero no da la felicidad, aahh pero como calma los nervios jijiji
SI;INESCRUPULOSO;;;Pues la verdad, no lo sentiría como mío pero tampoco sería insensible, lo ayudaría para mostrarle que ante cualquier problema existe bondad y que se puede cambiar
SI;SUPERIORIDAD;;;es mejor hablar muy bien de mi que hablar mal de los demás
