NARCISISTA,RASGO_1,RASGO_2,RASGO_3,COMENTARIOS
SI,INDIFERENCIA,,,"No lo sentiria como mio, pero si sentiria algo de lastima, porque algun sufrimiento no se lo desea ni a su enemigo, en mi posicion lo comprenderia."
SI,INESCRUPULOSO,,,"Creo que si podr¡a sentir ese sufrimiento, a todos en un momento nos a pasado cosas malas y es inevitable no ponerse en los zapatos de otros pero sin embargo considero que cada persona merece lo que da y si hace el bien entonces obtendr  el bien"
SI,INDIFERENCIA,,,"Nunca he tenido enemigos. Pero si alguien me hace un mal a prop¢sito, y esa persona sufre por alg£n factor que no tiene que ver con el problema entre nosotros, entonces no me alegrar¡a ni nada. Y si esa persona necesita mi ayuda de forma sincera, entonces le dar¡a la mano. "
SI,INDIFERENCIA,,,"No podr¡a entender el sufrimiento de esa persona, a solo que experimentemos el mismo sufrimiento, pero esta siempre recordar que si una persona pide tu ayuda, as¡ el problema o sufrimiento no sea tuyo, poder ayudarlo en todo lo que este a tu alcance."
SI,EGOISMO,,,"No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como m¡o, y pues dentro de lo que m s pueda lo ignorar¡a pero si tendr¡a que ayudarlo y es algo muy importante si lo har¡a."
SI,INDIFERENCIA,,,"No podr¡a sentir su dolor como m¡o, pero s¡ lo que est  pasando es algo grave o fuera del motivo por el cual somos enemigos, si mostrar¡a empat¡a por ‚l y no desear¡a que alguien se alegre de mi sufrimiento. "
SI,EGOISMO,,,Inevitablemente sentir¡a empat¡a. No podr¡a alegrarme por el sufrimiento de una persona al menos que alguna vez lo haya provocado a m¡ o a un tercero.
SI,INDIFERENCIA,,,"La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que har¡a es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situaci¢n de el."
SI,INDIFERENCIA,,,"No sentir¡a nada, simplemente si est  en mi posibilidad ayudar, lo hago, sino, para la pr¢xima ser ."
SI,INDIFERENCIA,,,"En lo personal, yo no le tengo rencor a nadie y considero que tampoco tengo enemigos, pero de ser el caso tratar¡a de ayudarlo en lo que pueda tampoco quisiera entrometerme mucho."
SI,EGOISMO,,,Tratar¡a de pensar mucho y ayudar¡a a la familia con apoyo moral 
SI,INDIFERENCIA,,,"No tengo ning£n enemigo, pero si hablamos en alguna suposici¢n no sintiera nada al respecto, si veo que necesita mi ayuda, lo ayudo porque a pesar de todo somos humanos y cualquier persona puede cometer errores."
SI,INDIFERENCIA,,,"No lo sentir¡a como mi sufrimiento, sin embargo tampoco sentir¡a felicidad por la angustia de otra persona, eso no es ser una persona ‚tica"
SI,INDIFERENCIA,,,"No tengo ning£n tipo de enemigos, ayudar¡a a cualquier persona conocida o desconocida sin ning£n problema, claro est  si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me dar¡a igual."
SI,INDIFERENCIA,,,"Pienso que actuando en consecuencia, el dolor ajeno se trate de quien se trate es algo malo, en cierto modo pensaria que el karma le estar¡a devolviendo el da¤o causado, pero si sentir¡a algo de tristeza por esa persona."
SI,INDIFERENCIA,,,"Pues no considero a nadie como mi peor enemigo, pero soy de la idea que no debemos desearle el mal a nadie y ante esta pregunta mi pensar es que no lo sentir¡a como m¡o pero si me gustar¡a ayudarlo aunque sea de manera indirecta."
SI,INDIFERENCIA,,,"No he tenido enemigos, ni espero tenerlos pero en casos as¡ no lo sentir¡a como si el problema fuera fuera m¡o, pero si dar¡a un apoyo de fortaleza hacia esa persona que est  sufriendo"
SI,INDIFERENCIA,,,"No sentir¡a el dolor como mio...bueno sentir¡a empat¡a y si hay algo en lo que lo pueda ayudar lo har¡a sin ning£n problema ya que si a mi me considerar n como ""mi peor enemiga"" no me gustar¡a que se burlen de esa desgracia.No hagas lo que no quieres que te hagan."
SI,INDIFERENCIA,,,Simplemente no le deseo el mal a nadie pero no disfrutar¡a ante el sufrimiento de un ser humano pero lo tomar¡a como un merecido porque todo en esta vida se paga
SI,INDIFERENCIA,,,"No har¡a nada, prefiero ignorar. A no ser que una situaci¢n grave, solo ah¡ extender¡a mi mano, pues una cosa es que sea tu enemigo y otra que es que estamos hablando de un ser humano. Pero como no tengo enemigos"
SI,INDIFERENCIA,,,"En lo personal. No podr¡a sentir ese sufrimiento del cual est‚ pasando. Pero de lo que estoy segura, que si necesitar¡a mi ayuda, se la brindar‚. Ya que a veces pasamos por muchas circunstancias y no sabemos quienes podr n ayudarnos. Del quien menos se lo espera."
SI,INDIFERENCIA,,,"Creo que depende mucho de mi situaci¢n con esa persona, tal vez lo que sufre puede ser el famoso ?karma? por sus malas acciones no me alegrar¡a por ello pero tampoco lo aplastar¡a m s, dejar¡a que el solucione sus problemas, pero si est‚ problema es fuerte si le ayudar¡a"
SI,INDIFERENCIA,,,"Existe una pragm tica que dice, que sin la maldad no tuviera l¢gica la felicidad, alegrarse por el sufrimiento de otro ser humano no es correcto ni ‚tico. Bien se dice en el argot popular, existe un Karma que si hemos hecho mal o bien el tiempo es el £nico que lo hace pagar."
SI,INDIFERENCIA,,,"Depende de que tipo de sufrimiento sea, por ejemplo si esta sufriendo por alguna enfermedad de alg£n padre o hermanos entonces lo ayudar¡a, pero si es un acto que ‚l mismo se provoc¢ y por eso esta sufriendo entonces no lo ayud¢ para que escarmiente."
SI,INDIFERENCIA,,,"Ignorar, es algo que no har¡a, porque a pesar de todo lo que a causado sigue siendo una persona igual que nosotros, sin embargo si llego hacerlo me convertir¡a en mi propio peor enemigo, pero siempre y cuando haya ese perd¢n mutuo para as¡ poder ofrecer esa ayuda."
SI,INDIFERENCIA,,,"Depende mucho de la situaci¢n, ya que la causa del sufrimiento puede ser la consecuencia de alg£n acto negativo realizado por esa persona, si no es as¡ se lo podr¡a ayudar de alguna manera."
SI,INDIFERENCIA,,,"No tengo enemigos y si fuera as¡, ignoraria lo que le pasa a noser que sea dms fuerte y me pida ayuda, har¡a lo que esta en mis manos."
SI,INDIFERENCIA,,,"No sentirlo como m¡o.. pero de igual manera buscar¡a ayudarle o simplemente escucharle, en eso est  la empat¡a"
SI,INDIFERENCIA,,,"No compartir¡a el sufrimiento, tampoco me alegrar¡a por su situaci¢n, solo lograr¡a asimilar lo ocurrido, si la situaci¢n implica ayudar ser¡a de manera indirecta."
SI,INESCRUPULOSO,,,Lo sentir¡a y tratar¡a de ayudarle solo si es de ‚l/ella dejarse ayudar.
SI,INESCRUPULOSO,,,"Pues yo digo que aunque sea mi enemigo deber¡a ayudarlo, unque yo dir¡a que necesito que el pase un poco de karma pero tampoco soy haci de vengativa haci que si lo ayudar¡a."
