v1,v2, , , 
NORMAL,is fat and happy :], , , 
NORMAL,starting in sept!! =), , , 
NORMAL,going to get fatter on a cruise with miss fatty, , , 
NORMAL,yay background check says I'm not a criminal, , , 
NORMAL,Congrats Dr. and Mrs. Tran!!, , , 
NORMAL,i BEAT the system!! speeding ticket is DISMISSED!! WOOT!, , , 
NORMAL,ty all for your birthday wishes!, , , 
NORMAL,does anyone need a really really big master bedroom in SD?????, , , 
NORMAL,My new froggies are so cute....names are *PROPNAME* and *PROPNAME*, , , 
NORMAL,bAwwwW at work late today....BBAAWWWWW!!, , , 
NORMAL,y dont you just set your profile to private? Both of you are spoiled girls....so your statements are invalid, , , 
NORMAL,@_@ turkeyday for me = a bunch of republicans coming together eating a huge feast and Obama bashing....its disgusting!, , , 
NORMAL,MMM should i get a PS3 to play uncharted 2??? MMMM!!!!, , , 
NORMAL,successful wedding!!!....Im so pooped and sleeping on the ground doesn't help! lol, , , 
NORMAL,I'm in whitehorse for 6 weeks, , , 
NORMAL,I'm back home and have a new baby brother, , , 
NORMAL,I MISS CAMP!!!!!!!!!!!!!, , , 
NORMAL,MOTLEY CRUE JANUARY 23!!!!!!!!!!!!!!, , , 
NORMAL,IS AT *PROPNAME*'S. *PROPNAME* TO BE EXACT., , , 
NORMAL,avatar was a horrible movie, , , 
NORMAL,i dont get y people are afraid of the unknown becaues the unknown is usually way more fun than the known, , , 
NORMAL,"merry christmas,  happy hanica happy kwanza and whatever other celebrations there are today", , , 
NORMAL,happy christmass eve, , , 
NORMAL,IT'S CHRISTMAS BREAK!!!!!!!!!!, , , 
NORMAL,ONLY 2 MORE YEARS TILL THE WORLD ENDS! I'M STOKED, , , 
NORMAL,it's alot of peoples birthday today so happy birthday, , , 
NORMAL,73%! highest in my corps, , , 
NORMAL,just saw a pink floyd tribute band :), , , 
NORMAL,STOKED FOR MOTLEY CRUE ON SATURDAY!!!!!!!!!!!!!, , , 
NORMAL,CRUE ROCKED!!!!!!!!!!!!!, , , 
NORMAL,ahhhhhhhhhhh i cant think of what 2 write 4 the next scene of my play im freakin out D=, , , 
NORMAL,NSCE phase 1 tomorrow, , , 
NORMAL,2nd place!!!, , , 
NORMAL,IMPROV SOUTH ISLAND CUP!!!!!!!!! VIC HIGH FTW, , , 
NORMAL,MOTLEY CRUE!!!!!!!!! stoked 4 saturday :P, , , 
NORMAL,eating chilly... yum =D, , , 
NORMAL,EVERYONE IN VICTORIA! go to the improv south island cup finals tonight at 7:30 at vic high to watch some awesome improv and hopefully see vic high win. Tickets are $8.00 for students and $10.00 for everyone else outside the auditorium in the foyier, , , 
NORMAL,"you'll have to excuse me I'm not at my best, I've been gone for a month, I've been drunk since I left and these so called vacations will soon be my death, I'm so sick from the drink, I need home for a rest", , , 
NORMAL,too much popcorn... blaaaaaaaa, , , 
NORMAL,Happy Summer Solstice to all!, , , 
NORMAL,"""The creature took the form of a lovely maiden with the idea of bewitching us with her many charms, in the hope that she might get our fish.""", , , 
NORMAL,has sacked the hallowed heights of Ilion., , , 
NORMAL,Tentatively has a new// old job., , , 
NORMAL,"The Iliad: 59 pages in, and I finally finished the translator's introduction to the work. Progress!", , , 
NORMAL,Goodbye *PROPNAME*. :(, , , 
NORMAL,"""Today you courted beauty and a thousand fishes rained at your feet. How do you feel?""", , , 
NORMAL,Homeric epic number two!, , , 
NORMAL,//machetemachetemachete, , , 
NORMAL,"wants 1000 points so she can win a real tank. Damn, that's a good movie.", , , 
NORMAL,"""There's so much that I have to learn, I hope it won't be hard, and I hope it will be snowing on the day they make me tzar!""", , , 
NORMAL,wants to be an emergentist!, , , 
NORMAL,"was digging in the dirt today, and earned her supper.", , , 
NORMAL,"In conclusion, both of my roommates check facebook more frequently than I.", , , 
NORMAL,got some blisters in the garden today., , , 
NORMAL,"Aah, the novelty of clipping coupons.", , , 
NORMAL,danced on the grass while musicians on the roof serenaded the night., , , 
NORMAL,has no name and is part of the kollective., , , 
NORMAL,"Hello, world!", , , 
NORMAL,was surprised and pleased to meet *PROPNAME*'s freshman roommate in the bookstore., , , 
NORMAL,Hooray for Friday!, , , 
NORMAL,"Huh, chestnuts look eerily like brains...", , , 
NORMAL,was disturbed to come to the realization that the Dao is the Game. Life is cruel., , , 
NORMAL,"Thank you for the kind sentiments, all!", , , 
NORMAL,"""Poetry is the synthesis of hyacinths and biscuits.""", , , 
NORMAL,did not expect to end up on a campus tour. Huh., , , 
NORMAL,seems to have acquired a mad swank bike., , , 
NORMAL,off for the weekend!, , , 
NORMAL,can't decide if she's using laundry to avoid doing homework or homework to avoid doing laundry., , , 
NORMAL,Welcome to Portland!, , , 
NORMAL,Happy Fall Equinox!, , , 
